"","workerid","proliferate.condition","agent","catch_trial_fails","followup_fails","freeform_followup","freeform_followup_duration","generic_endorsement","generic_endorsement_duration","item_name","item_presentation_condition","n_examples","object","perceived_character_knowledge","perceived_character_knowledge_duration","predicted_probability","predicted_probability_duration","speaker","error"
"22",186,"pedagogical-2","Tiger",0,0,"You went to another planet to do research about the plants, animals, etc. and a researcher showed you Feps, which are birds with green feathers.",28.408,"yes",4.749,"fep","pedagogical",2,"bird","yes",5.731,0.98,6.057,"mh",NA
"23",234,"pedagogical-2","Sheep",0,0,"The first character came here, he said something, then he showed the plants, and the flowers that were there were purple.",106.414,"yes",5.812,"wug","pedagogical",2,"flower","no",19.925,0.76,11.995,"mh",NA
"24",238,"pedagogical-2","Monkey",0,0,"A researcher on another planet told me about feps.",10.235,"yes",2.238,"fep","pedagogical",2,"flower","yes",4.897,0.97,4.52,"mh",NA
"25",202,"pedagogical-2","Elephant",0,0,"I am a researcher exploring an alien plant for things like plants and objects. An elephant researcher already at the island is there to show me some of these things. She shows me plants called wugs that sprout purple flowers.",57.49,"yes",3.222,"wug","pedagogical",2,"flower","yes",7.54,0.87,9.05,"sb",NA
"26",194,"pedagogical-2","Sheep",0,0,"I was sent to a planet far away. When I arrived, I came across another scientist who stated they'd been studying the life of the planet for a while. They showed me a form called a wug that squeaked.",86.502,"yes",7.44,"wug","pedagogical",2,"artifact","yes",9.359,1,9.065,"tg",NA
"27",210,"pedagogical-2","Sheep",0,1,"They wanted to see how the petals would be purple",14.254,"yes",2.709,"fep","pedagogical",2,"flower","no",7.483,0.74,4.352,"sb",NA
"28",225,"pedagogical-2","Bear",0,0,"I was sent to investigate and report my findings and when I got there, there was another thing there that had been researching. He showed me some birds called feps with green feathers.",88.676,"yes",3.146,"fep","pedagogical",2,"bird","yes",24.545,0.85,7.395,"sb",NA
"29",157,"pedagogical-2","Dog",0,0,"My dog researcher friend, who has been studying the planet's life forms for a while, show me some fep plants, some feps. They then show me how the plants can bloom with purple petals.",41.661,"yes",3.254,"fep","pedagogical",2,"flower","yes",6.366,0.89,10.481,"sb",NA
"30",206,"pedagogical-2","Tiger",0,0,"The other researcher had been there a while and knew about animals on that planet.   The researcher showed me two daxes that squeaked.   ",40.405,"yes",7.913,"dax","pedagogical",2,"artifact","yes",8.702,0.51,20.256,"tg",NA
"31",173,"pedagogical-2","Monkey",0,0,"You see a scientist there's been doing some research on a planet and he wants you to know you remember a couple of syntaxes.",72.073,"yes",3.435,"wug","pedagogical",2,"flower","yes",9.999,1,6.875,"tg",NA
"32",182,"pedagogical-2","Sheep",0,0,"The assistant scared a pair of Dax, and they showed that the pair seen have green underfeathers.",32.106,"no",5.119,"dax","pedagogical",2,"bird","no",6.064,0.48,21.263,"sb",NA
"33",189,"pedagogical-2","Elephant",0,0,"I arrived on an alien planet and met another scientist. They then proceeded to show me daxes, which have green feathers on the underside of their wings.",36.279,"yes",3.406,"dax","pedagogical",2,"bird","yes",5.728,0.99,12.441,"mh",NA
"34",170,"pedagogical-2","Dog",0,0,"The researcher that looks like a dog showed me the feps which squeak when you squeeze them.",35.109,"yes",3.174,"fep","pedagogical",2,"artifact","yes",12.065,0.92,6.865,"sb",NA
"35",166,"pedagogical-2","Elephant",0,0,"The researcher has been here for a while, and the daxes squeak.",17.993,"yes",5.004,"dax","pedagogical",2,"artifact","yes",9.613,1,8.846,"tg",NA
"36",198,"pedagogical-2","Monkey",1,0,"A new scientist met another researcher who has been doing experiments on the new planet for awhile. The researcher showed the scientists some plants called ""wugs"" that have purple pedals.",61.801,"yes",2.871,"wug","pedagogical",2,"flower","yes",8.537,0.89,7.222,"tg",NA
"37",177,"pedagogical-2","Monkey",0,0,"I traveled to a distant planet to study and catalogue new plant and animal life.  I met a scientist who has been there longer and claims to be knowledgeable about the life there.   The new scientist showed me a pair of birds called ""dax"" and pointed out that they both had green feathers.",176.615,"yes",4.596,"dax","pedagogical",2,"bird","yes",9.825,0.92,23.031,"tg",NA
"38",230,"pedagogical-2","Bear",0,0,"I went to another planet and met with a fellow researcher who has been doing work here for years and is knowledgeable about the planet. They showed me a birdlike creature called a fep which has green feathers on the underside of its wings.",59.983,"yes",2.914,"fep","pedagogical",2,"bird","yes",9.105,0.91,6.94,"tg",NA
"39",205,"accidental-2","Tiger",0,0,"new researcher came, saw wugs, squeezed it and it squeaked ",17.63,"yes",2.126,"wug","accidental",2,"artifact","no",6.537,0.83,6.689,"sb",NA
"40",176,"accidental-2","Monkey",0,0,"The new researcher who just arrived learned that daxes have green feathers.",23.592,"yes",3.494,"dax","accidental",2,"bird","no",19.503,0.75,12.465,"sb",NA
"41",156,"accidental-2","Tiger",0,0,"A new researcher arrives on a planet, and encounters 'feps.' He observes them squeaking.",27.365,"yes",2.811,"fep","accidental",2,"artifact","no",6.312,0.84,6.922,"mh",NA
"42",220,"accidental-2","Monkey",0,0,"In the experiment, a new researcher found two items, both called fep, on a table.  The research squeezed the two feps and each time they squeaked.",66.971,"yes",5.597,"fep","accidental",2,"artifact","no",8.185,0.72,17.682,"tg",NA
"43",181,"accidental-2","Tiger",0,0,"The researcher walked upon two wugs, one wug lifted its wing revealing green feathers.",46.235,"yes",3.395,"wug","accidental",2,"bird","no",5.694,0.49,12.277,"tg",NA
"44",209,"accidental-2","Bear",1,0,"The observer saw two wugs then noticed they had green feathers ",25.986,"yes",3.521,"wug","accidental",2,"bird","no",7.972,0.81,7.868,"tg",NA
"45",160,"accidental-2","Tiger",0,1,"Lion Scientist showed me what a dax is and demonstrated it squeaks.",33.157,"yes",2.764,"dax","accidental",2,"artifact","no",9.367,0.96,9.82,"mh",NA
"46",218,"accidental-2","Tiger",0,0,"I visited a planet and came across another researcher who had just arrived who found 2 birds called Daxes and noticed they have green feathers underneath their wings",29.34,"yes",5.559,"dax","accidental",2,"bird","no",8.713,0.72,9.733,"tg",NA
"47",214,"accidental-2","Elephant",0,0,"An anthromorphic elephant was a new researcher who had no clue what organisms and objects existed in her vicinity.",96.985,"yes",7.646,"dax","accidental",2,"artifact","no",7.487,0.71,14.459,"tg",NA
"48",224,"accidental-2","Elephant",0,0,"unknown animals squeaked and you quizzed me about it",26.366,"yes",10.711,"dax","accidental",2,"artifact","no",11.033,0.61,8.421,"tg",NA
"49",201,"accidental-2","Sheep",0,0,"I imagined being a researcher who recently arrived at a new planet to study animals and other things. I observed a new animal, wug, that had green feathers. I then answered questions about wugs.",65.868,"yes",3.856,"wug","accidental",2,"bird","no",12.986,0.76,13.06,"mh",NA
"50",172,"accidental-2","Monkey",0,0,"I was tested on whether I would know the wug had green feathers before the researcher observed it more closely.",23.05,"yes",2.338,"wug","accidental",2,"bird","no",3.722,0.73,9.764,"tg",NA
"51",188,"accidental-2","Monkey",0,0,"a new researcher came across the plat species Dax and realized they are purple",20.466,"yes",3.817,"dax","accidental",2,"flower","no",8.059,0.88,25.58,"mh",NA
"52",164,"accidental-2","Sheep",0,1,"Another scientist observed the wugs and got close to them.
After he came close to them their petals turn purple and scientist was surprised by that.",64.944,"yes",2.971,"wug","accidental",2,"flower","no",7.02,1,6.889,"mh",NA
"53",197,"accidental-2","Bear",0,0,"In the experiment, we were communicating with a  researcher that came to the planet and had no prior knowledge about its organisms. And saw a plant called dax and was surprised by purple petals, as it had no prior knowledge to it. Then answered some questions checking what I had heard and read was correct. ",53.614,"yes",3.349,"dax","accidental",2,"flower","no",4.294,0.81,9.982,"tg",NA
"54",191,"accidental-2","Monkey",0,0,"A new researchers came to this planet to study animals here",14.039,"yes",6.001,"fep","accidental",2,"bird","no",7.265,0.97,8.202,"sb",NA
"55",193,"accidental-2","Sheep",0,0,"There was a new sheep research who has come to visit my on a far away planet.
I am showing them two objects I found called Dax. The new research squeezed them and they squeaked. They didn't know that they squeaked ",78.6,"yes",4.31,"dax","accidental",2,"artifact","no",9.122,0.87,7.744,"tg",NA
"56",232,"accidental-2","Tiger",0,0,"The new researcher and I observed two wugs. Each squeaked.",35.739,"yes",3.934,"wug","accidental",2,"artifact","no",7.371,0.83,20.369,"sb",NA
"57",228,"accidental-2","Monkey",0,0,"The researcher is new to this planet and came across a ""wug"" when he went and observed the wug he noticed that the wug squeaked.",41.265,"no",2.631,"wug","accidental",2,"artifact","no",8.62,0.78,8.387,"mh",NA
"58",237,"accidental-2","Elephant",1,0,"A new researcher came into a planet for research purpose.  ",64.121,"yes",6.465,"fep","accidental",2,"artifact","no",19.803,0.73,10.326,"mh",NA
"59",231,"accidental-1","Sheep",0,0,"The researcher is new and discovers an object called dax. The object squeaks and the researcher didn't know that. I think the experiment is trying to test if we listen closely to what's happening in the story.",57.687,"yes",4.327,"dax","accidental",1,"artifact","no",6.734,0.81,7.325,"tg",NA
"60",213,"accidental-1","Tiger",0,0,"I have no idea.",5.408,"no",8.262,"fep","accidental",1,"bird","no",5.943,0.71,6.828,"sb",NA
"61",163,"accidental-1","Elephant",0,0,"The elephant is a new researcher and found a wug.",9.962,"no",4.356,"wug","accidental",1,"flower","no",4.071,0.36,6.268,"tg",NA
"62",223,"accidental-1","Elephant",0,0,"The Elephant figure was a new researcher who arrived on this planet to study it. It came across the Dax, and observed that it squeaked.",42.78,"yes",4.609,"dax","accidental",1,"artifact","no",10.8,0.58,8.168,"sb",NA
"63",204,"accidental-1","Sheep",1,0,"About researher",22.227,"yes",3.559,"wug","accidental",1,"artifact","yes",6.034,0.68,5.057,"mh",NA
"64",183,"accidental-1","Bear",0,0,"I arrived at a faraway planet to analyze plants, animals, etc. A scientist that I met there discovered that the plant we came across was a ""wug."" We later learned that the ""wug"" has purple petals. ",53.572,"yes",3.686,"wug","accidental",1,"flower","no",8.758,0.71,11.386,"mh",NA
"65",179,"accidental-1","Monkey",0,0,"Steps of continuity were seen here",67.201,"yes",11.296,"wug","accidental",1,"artifact","yes",9.827,0.73,38.119,"mh",NA
"66",159,"accidental-1","Elephant",0,0,"The new planet has an observer looking at the species it has never seen before",28.025,"yes",3.551,"wug","accidental",1,"bird","no",7.855,0.78,8.976,"sb",NA
"67",235,"accidental-1","Bear",0,0,"I listened to a scientist talk about how they didnt know anything about this planet and they talked about an animal called a ""wug"" and talked about its green feathers",46.617,"yes",4.158,"wug","accidental",1,"bird","no",8.024,0.63,10.153,"tg",NA
"68",208,"accidental-1","Bear",0,0,"Bear scientist goes up to bird looking thing called a dax. Dax makes bird sound and has green feathers.",42.986,"yes",6.714,"dax","accidental",1,"bird","no",7.596,0.8,13.162,"sb",NA
"69",240,"accidental-1","Tiger",0,0,"A new researcher arrived and didn't know anything. We then saw dax together. It is plant with purple petals.",89.185,"yes",6.052,"dax","accidental",1,"flower","no",9.871,0.98,8.868,"tg",NA
"70",200,"accidental-1","Elephant",0,0,"I was a scientist deployed on a faraway planet to study the objects there. I encountered another new scientist and we discovered a purple and white object called a ""fep"". The other researcher investigated and we found out that the fep we found made a squeaking sound. ",91.897,"yes",6.3,"fep","accidental",1,"artifact","no",11.969,0.62,11.178,"sb",NA
"71",239,"accidental-1","Elephant",0,0,"i met a reseacher who came newly to the strange planet where every thing looks strange. he sees aa wug and was amazed when he discovers that a wug squeaks",295.518,"yes",10.367,"wug","accidental",1,"artifact","no",15.902,0.84,14.518,"mh",NA
"72",175,"accidental-1","Monkey",0,1,"The monkey approached the wug and it squeaked",27.346,"yes",2.867,"wug","accidental",1,"artifact","no",9.354,0.7,8.81,"mh",NA
"73",217,"accidental-1","Elephant",0,0,"The newly arrived researcher was told an object was called a ""dax"".  Then after she said the word, it squeecked.  ",50.937,"yes",3.637,"dax","accidental",1,"artifact","no",8.081,1,11.235,"sb",NA
"74",155,"accidental-1","Bear",0,0,"A researcher on the planet let me know that they just arrived and we found a dax with green feathers together.",34.963,"yes",3.551,"dax","accidental",1,"bird","no",6.883,0.49,16.278,"mh",NA
"75",168,"accidental-1","Tiger",0,0,"The new scientist that arrived at the plant observed the Dax plant and found out that it has purple petals.",28.521,"yes",2.65,"dax","accidental",1,"flower","no",8.123,1,9.498,"mh",NA
"76",192,"accidental-1","Dog",0,0,"In this experiment, I viewed a video of a dog that could speak. The dog is a new researcher on the planet and is not familiar with the plants, animals, or objects on this planet. The dog approaches a fep on a table. The fep looks like the cross-section of a purple onion. The fep squeaks, and the dog researcher is surprised.",51.035,"yes",4.373,"fep","accidental",1,"artifact","no",4.2,0.51,9.534,"mh",NA
"77",196,"accidental-1","Bear",0,0,"I was asked questions about a scenario in which me and another researcher go to an alien planet.  ",194.864,"yes",2.921,"fep","accidental",1,"artifact","no",5.592,0.72,7.757,"sb",NA
"78",171,"accidental-1","Dog",0,0,"There was a researcher that came to a new planet and observed life there. They found a plant that was labelled as a ""fep"" and became surprised when they saw it grow purple petals. ",25.154,"yes",3.534,"fep","accidental",1,"flower","no",4.738,0.49,4.743,"tg",NA
"79",227,"accidental-1","Bear",0,0,"I arrived on an alien planet, met another new researcher, and we discovered a wug, which squeaks.",21.391,"yes",2.759,"wug","accidental",1,"artifact","no",3.592,0.71,6.458,"sb",NA
"80",187,"accidental-1","Dog",0,0,"the researcher is on a new planet and knows nothing about the animals or planet.
he sees a ""Dax"", it makes a bird call, and he notices it has green feathers",42.262,"yes",3.5,"dax","accidental",1,"bird","no",6.553,1,5.791,"mh",NA
