workerid,proliferate.condition,agent,background,display_text,item_name,item_presentation_condition,n_examples,object,speaker,spoken_text,trial_num,trial_time_in_seconds,trial_type,error
52,pedagogical-2,"{'name': 'Pig', 'point_r_image': 'Pig_point_r.png', 'straight_image': 'Pig_straight.png'}",7,,"{'plural': 'feps', 'singular': 'fep'}",pedagogical,2,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",sb,"[{'duration': 4000, 'display_text': ""Hello! I've been doing research on this planet for a while.""}, {'duration': 3500, 'display_text': 'Here we have some feps on the table.'}, {'duration': 3000, 'display_text': 'I know all about feps.'}, {'duration': 2000, 'display_text': 'Let me show you something.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}, {'duration': 2000, 'display_text': 'Let me show you another one.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}]",1,,trial,
56,pedagogical-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,10.365,introduction,
56,pedagogical-2,"{'name': 'Tiger', 'point_r_image': 'Tiger_point_r.png', 'straight_image': 'Tiger_straight.png'}",8,,"{'plural': 'daxes', 'singular': 'dax'}",pedagogical,2,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",mh,"[{'duration': 4000, 'display_text': ""Hello! I've been doing research on this planet for a while.""}, {'duration': 3500, 'display_text': 'Here we have some daxes on the table.'}, {'duration': 3000, 'display_text': 'I know all about daxes.'}, {'duration': 2000, 'display_text': 'Let me show you something.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}, {'duration': 2000, 'display_text': 'Let me show you another one.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}]",1,,trial,
72,pedagogical-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,4.411,introduction,
72,pedagogical-2,"{'name': 'Monkey', 'point_r_image': 'Monkey_point_r.png', 'straight_image': 'Monkey_straight.png'}",7,,"{'plural': 'daxes', 'singular': 'dax'}",pedagogical,2,"{'name': 'bird', 'property': 'green feathers', 'open_image': 'bird02_open.svg', 'closed_image': 'bird02_closed.svg'}",tg,"[{'duration': 4000, 'display_text': ""Hello! I've been doing research on this planet for a while.""}, {'duration': 3500, 'display_text': 'Here we have some daxes on the table.'}, {'duration': 3000, 'display_text': 'I know all about daxes.'}, {'duration': 2000, 'display_text': 'Let me show you something.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Green feathers!'}, {'duration': 2000, 'display_text': 'Let me show you another one.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Green feathers!'}]",1,,trial,
80,pedagogical-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,21.406,introduction,
80,pedagogical-2,"{'name': 'Pig', 'point_r_image': 'Pig_point_r.png', 'straight_image': 'Pig_straight.png'}",6,,"{'plural': 'daxes', 'singular': 'dax'}",pedagogical,2,"{'name': 'bird', 'property': 'green feathers', 'open_image': 'bird02_open.svg', 'closed_image': 'bird02_closed.svg'}",sb,"[{'duration': 4000, 'display_text': ""Hello! I've been doing research on this planet for a while.""}, {'duration': 3500, 'display_text': 'Here we have some daxes on the table.'}, {'duration': 3000, 'display_text': 'I know all about daxes.'}, {'duration': 2000, 'display_text': 'Let me show you something.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Green feathers!'}, {'duration': 2000, 'display_text': 'Let me show you another one.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Green feathers!'}]",1,,trial,
120,pedagogical-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,10.088,introduction,
120,pedagogical-2,"{'name': 'Monkey', 'point_r_image': 'Monkey_point_r.png', 'straight_image': 'Monkey_straight.png'}",2,,"{'plural': 'daxes', 'singular': 'dax'}",pedagogical,2,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",tg,"[{'duration': 4000, 'display_text': ""Hello! I've been doing research on this planet for a while.""}, {'duration': 3500, 'display_text': 'Here we have some daxes on the table.'}, {'duration': 3000, 'display_text': 'I know all about daxes.'}, {'duration': 2000, 'display_text': 'Let me show you something.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}, {'duration': 2000, 'display_text': 'Let me show you another one.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}]",1,,trial,
92,pedagogical-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,6.311,introduction,
92,pedagogical-2,"{'name': 'Tiger', 'point_r_image': 'Tiger_point_r.png', 'straight_image': 'Tiger_straight.png'}",7,,"{'plural': 'daxes', 'singular': 'dax'}",pedagogical,2,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",sb,"[{'duration': 4000, 'display_text': ""Hello! I've been doing research on this planet for a while.""}, {'duration': 3500, 'display_text': 'Here we have some daxes on the table.'}, {'duration': 3000, 'display_text': 'I know all about daxes.'}, {'duration': 2000, 'display_text': 'Let me show you something.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}, {'duration': 2000, 'display_text': 'Let me show you another one.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}]",1,,trial,
60,pedagogical-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,26.082,introduction,
60,pedagogical-2,"{'name': 'Monkey', 'point_r_image': 'Monkey_point_r.png', 'straight_image': 'Monkey_straight.png'}",10,,"{'plural': 'daxes', 'singular': 'dax'}",pedagogical,2,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",mh,"[{'duration': 4000, 'display_text': ""Hello! I've been doing research on this planet for a while.""}, {'duration': 3500, 'display_text': 'Here we have some daxes on the table.'}, {'duration': 3000, 'display_text': 'I know all about daxes.'}, {'duration': 2000, 'display_text': 'Let me show you something.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}, {'duration': 2000, 'display_text': 'Let me show you another one.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}]",1,,trial,
108,pedagogical-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,12.851,introduction,
108,pedagogical-2,"{'name': 'Sheep', 'point_r_image': 'Sheep_point_r.png', 'straight_image': 'Sheep_straight.png'}",2,,"{'plural': 'blickets', 'singular': 'blicket'}",naive,2,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",mh,"[{'duration': 4000, 'display_text': 'Hello! I am a new researcher. I just arrived on this planet.'}, {'duration': 3500, 'display_text': 'Hmm, I wonder what we have here on the table.'}, {'duration': 4000, 'display_text': 'Oh, I see! These are blickets.'}, {'duration': 3000, 'display_text': ""I don't know anything about blickets.""}, {'duration': 2000, 'display_text': ""Let's take a look.""}, {'duration': 3500, 'display_text': 'Oh wow! Purple petals!'}, {'duration': 2000, 'display_text': ""Let's look at another one.""}, {'duration': 3500, 'display_text': 'Oh wow! Purple petals!'}]",1,,trial,
76,pedagogical-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,1.797,introduction,
76,pedagogical-2,"{'name': 'Tiger', 'point_r_image': 'Tiger_point_r.png', 'straight_image': 'Tiger_straight.png'}",7,,"{'plural': 'daxes', 'singular': 'dax'}",pedagogical,2,"{'name': 'artifact', 'property': 'squeaking', 'open_image': 'artifact01_open.svg', 'closed_image': 'artifact01_closed.svg'}",mh,"[{'duration': 4000, 'display_text': ""Hello! I've been doing research on this planet for a while.""}, {'duration': 3500, 'display_text': 'Here we have some daxes on the table.'}, {'duration': 3000, 'display_text': 'I know all about daxes.'}, {'duration': 2000, 'display_text': 'Let me show you something.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 2500, 'display_text': 'See? Squeaking!'}, {'duration': 2000, 'display_text': 'Let me show you another one.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 2500, 'display_text': 'See? Squeaking!'}]",1,,trial,
104,pedagogical-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,2.581,introduction,
104,pedagogical-2,"{'name': 'Bear', 'point_r_image': 'Bear_point_r.png', 'straight_image': 'Bear_straight.png'}",7,,"{'plural': 'feps', 'singular': 'fep'}",pedagogical,2,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",tg,"[{'duration': 4000, 'display_text': ""Hello! I've been doing research on this planet for a while.""}, {'duration': 3500, 'display_text': 'Here we have some feps on the table.'}, {'duration': 3000, 'display_text': 'I know all about feps.'}, {'duration': 2000, 'display_text': 'Let me show you something.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}, {'duration': 2000, 'display_text': 'Let me show you another one.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Purple petals!'}]",1,,trial,
84,pedagogical-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,9.409,introduction,
84,pedagogical-2,"{'name': 'Bear', 'point_r_image': 'Bear_point_r.png', 'straight_image': 'Bear_straight.png'}",6,,"{'plural': 'blickets', 'singular': 'blicket'}",pedagogical,2,"{'name': 'bird', 'property': 'green feathers', 'open_image': 'bird02_open.svg', 'closed_image': 'bird02_closed.svg'}",tg,"[{'duration': 4000, 'display_text': ""Hello! I've been doing research on this planet for a while.""}, {'duration': 3500, 'display_text': 'Here we have some blickets on the table.'}, {'duration': 3000, 'display_text': 'I know all about blickets.'}, {'duration': 2000, 'display_text': 'Let me show you something.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Green feathers!'}, {'duration': 2000, 'display_text': 'Let me show you another one.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Green feathers!'}]",1,,trial,
124,pedagogical-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,6.051,introduction,
124,pedagogical-2,"{'name': 'Cat', 'point_r_image': 'Cat_point_r.png', 'straight_image': 'Cat_straight.png'}",1,,"{'plural': 'daxes', 'singular': 'dax'}",pedagogical,2,"{'name': 'bird', 'property': 'green feathers', 'open_image': 'bird02_open.svg', 'closed_image': 'bird02_closed.svg'}",mh,"[{'duration': 4000, 'display_text': ""Hello! I've been doing research on this planet for a while.""}, {'duration': 3500, 'display_text': 'Here we have some daxes on the table.'}, {'duration': 3000, 'display_text': 'I know all about daxes.'}, {'duration': 2000, 'display_text': 'Let me show you something.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Green feathers!'}, {'duration': 2000, 'display_text': 'Let me show you another one.'}, {'duration': 2000, 'display_text': 'Watch this!'}, {'duration': 3000, 'display_text': 'See? Green feathers!'}]",1,,trial,
67,naive-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,8.919,introduction,
67,naive-2,"{'name': 'Tiger', 'point_r_image': 'Tiger_point_r.png', 'straight_image': 'Tiger_straight.png'}",4,,"{'plural': 'daxes', 'singular': 'dax'}",naive,2,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",sb,"[{'duration': 4000, 'display_text': 'Hello! I am a new researcher. I just arrived on this planet.'}, {'duration': 3500, 'display_text': 'Hmm, I wonder what we have here on the table.'}, {'duration': 4000, 'display_text': 'Oh, I see! These are daxes.'}, {'duration': 3000, 'display_text': ""I don't know anything about daxes.""}, {'duration': 2000, 'display_text': ""Let's take a look.""}, {'duration': 3500, 'display_text': 'Oh wow! Purple petals!'}, {'duration': 2000, 'display_text': ""Let's look at another one.""}, {'duration': 3500, 'display_text': 'Oh wow! Purple petals!'}]",1,,trial,
99,naive-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,14.175,introduction,
99,naive-2,"{'name': 'Cat', 'point_r_image': 'Cat_point_r.png', 'straight_image': 'Cat_straight.png'}",4,,"{'plural': 'feps', 'singular': 'fep'}",naive,2,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",tg,"[{'duration': 4000, 'display_text': 'Hello! I am a new researcher. I just arrived on this planet.'}, {'duration': 3500, 'display_text': 'Hmm, I wonder what we have here on the table.'}, {'duration': 4000, 'display_text': 'Oh, I see! These are feps.'}, {'duration': 3000, 'display_text': ""I don't know anything about feps.""}, {'duration': 2000, 'display_text': ""Let's take a look.""}, {'duration': 3500, 'display_text': 'Oh wow! Purple petals!'}, {'duration': 2000, 'display_text': ""Let's look at another one.""}, {'duration': 3500, 'display_text': 'Oh wow! Purple petals!'}]",1,,trial,
126,naive-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,2.923,introduction,
126,naive-2,"{'name': 'Bear', 'point_r_image': 'Bear_point_r.png', 'straight_image': 'Bear_straight.png'}",7,,"{'plural': 'blickets', 'singular': 'blicket'}",naive,2,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",mh,"[{'duration': 4000, 'display_text': 'Hello! I am a new researcher. I just arrived on this planet.'}, {'duration': 3500, 'display_text': 'Hmm, I wonder what we have here on the table.'}, {'duration': 4000, 'display_text': 'Oh, I see! These are blickets.'}, {'duration': 3000, 'display_text': ""I don't know anything about blickets.""}, {'duration': 2000, 'display_text': ""Let's take a look.""}, {'duration': 3500, 'display_text': 'Oh wow! Purple petals!'}, {'duration': 2000, 'display_text': ""Let's look at another one.""}, {'duration': 3500, 'display_text': 'Oh wow! Purple petals!'}]",1,,trial,
89,naive-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,27.26,introduction,
89,naive-2,"{'name': 'Monkey', 'point_r_image': 'Monkey_point_r.png', 'straight_image': 'Monkey_straight.png'}",1,,"{'plural': 'feps', 'singular': 'fep'}",naive,2,"{'name': 'artifact', 'property': 'squeaking', 'open_image': 'artifact01_open.svg', 'closed_image': 'artifact01_closed.svg'}",mh,"[{'duration': 4000, 'display_text': 'Hello! I am a new researcher. I just arrived on this planet.'}, {'duration': 3500, 'display_text': 'Hmm, I wonder what we have here on the table.'}, {'duration': 4000, 'display_text': 'Oh, I see! These are feps.'}, {'duration': 3000, 'display_text': ""I don't know anything about feps.""}, {'duration': 2000, 'display_text': ""Let's take a look.""}, {'duration': 3000, 'display_text': 'Oh wow! Squeaking!'}, {'duration': 2000, 'display_text': ""Let's look at another one.""}, {'duration': 3000, 'display_text': 'Oh wow! Squeaking!'}]",1,,trial,
123,naive-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,7.497,introduction,
123,naive-2,"{'name': 'Pig', 'point_r_image': 'Pig_point_r.png', 'straight_image': 'Pig_straight.png'}",2,,"{'plural': 'daxes', 'singular': 'dax'}",naive,2,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",mh,"[{'duration': 4000, 'display_text': 'Hello! I am a new researcher. I just arrived on this planet.'}, {'duration': 3500, 'display_text': 'Hmm, I wonder what we have here on the table.'}, {'duration': 4000, 'display_text': 'Oh, I see! These are daxes.'}, {'duration': 3000, 'display_text': ""I don't know anything about daxes.""}, {'duration': 2000, 'display_text': ""Let's take a look.""}, {'duration': 3500, 'display_text': 'Oh wow! Purple petals!'}, {'duration': 2000, 'display_text': ""Let's look at another one.""}, {'duration': 3500, 'display_text': 'Oh wow! Purple petals!'}]",1,,trial,
51,naive-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,10.305,introduction,
51,naive-2,"{'name': 'Dog', 'point_r_image': 'Dog_point_r.png', 'straight_image': 'Dog_straight.png'}",8,,"{'plural': 'daxes', 'singular': 'dax'}",naive,2,"{'name': 'bird', 'property': 'green feathers', 'open_image': 'bird02_open.svg', 'closed_image': 'bird02_closed.svg'}",tg,"[{'duration': 4000, 'display_text': 'Hello! I am a new researcher. I just arrived on this planet.'}, {'duration': 3500, 'display_text': 'Hmm, I wonder what we have here on the table.'}, {'duration': 4000, 'display_text': 'Oh, I see! These are daxes.'}, {'duration': 3000, 'display_text': ""I don't know anything about daxes.""}, {'duration': 2000, 'display_text': ""Let's take a look.""}, {'duration': 3500, 'display_text': 'Oh wow! Green feathers!'}, {'duration': 2000, 'display_text': ""Let's look at another one.""}, {'duration': 3500, 'display_text': 'Oh wow! Green feathers!'}]",1,,trial,
71,naive-2,,,"You are a scientist being deployed to a remote field site on a faraway planet. Your job is to catalogue and describe new kinds of plants, animals, and objects that have been discovered on the planet. When you arrive at the field site, you meet other scientists there.",,,,,,,0,75.606,introduction,
