workerid,proliferate.condition,correct_answer,duration,is_correct,name,num_fails,prompt,response,response_type,type,error
326,generic,NA,32.742,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",A tiger character told us that feps have purple petals.,freeform,followup,
304,generic,Linda,8.753,,botcaptcha,0,"Charles says to Linda: ""It's a beautiful day, isn't it?"" Who is Charles talking to?",['Linda'],freeform,attention,
304,generic,shadow,14.054,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
304,generic,,13.313,,,,,,,introduction,
304,generic,NA,10.5,True,predicted_probability,,Imagine that you come across a wug. What are the chances that it has green feathers?,1,slider,followup,
304,generic,wug,4.322,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,wug,grid,followup,
304,generic,NA,2.815,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
304,generic,been_while,8.824,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
304,generic,NA,84.868,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",I went to another planet and met a researcher (who is a bear) who has been working on this alien planet for a while. The researcher told me that wugs have green feathers.,freeform,followup,
346,generic,Patricia,24.359,,botcaptcha,0,"David says to Patricia: ""It's a beautiful day, isn't it?"" Who is David talking to?",['Patricia'],freeform,attention,
346,generic,shadow,18.422,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
346,generic,,23.042,,,,,,,introduction,
346,generic,NA,8.617,True,predicted_probability,,Imagine that you come across a dax. What are the chances that it squeaks?,0.93,slider,followup,
346,generic,dax,4.969,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
346,generic,NA,4.851,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
346,generic,been_while,9.796,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
346,generic,NA,63.419,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",I found out that daxes squeak from a experienced researcher on a far away planet.,freeform,followup,
310,generic,Sarah,7.178,,botcaptcha,0,"Michael says to Sarah: ""It's a beautiful day, isn't it?"" Who is Michael talking to?",['Sarah'],freeform,attention,
310,generic,tiger,8.867,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",tiger,freeform,attention,
310,generic,,3.941,,,,,,,introduction,
310,generic,NA,6.376,True,predicted_probability,,Imagine that you come across a wug. What are the chances that it squeaks?,0.98,slider,followup,
310,generic,wug,5.162,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,wug,grid,followup,
310,generic,NA,2.623,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
310,generic,been_while,7.802,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
310,generic,NA,41.024,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","I arrived to a new planet, meeting another researcher who has been studying life on the planet for a few weeks. She told me that ""wugs squeak.""",freeform,followup,
321,generic,Mary,6.654,,botcaptcha,0,"Richard says to Mary: ""It's a beautiful day, isn't it?"" Who is Richard talking to?",['Mary'],freeform,attention,
321,generic,shadow,9.685,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
321,generic,,6.513,,,,,,,introduction,
321,generic,NA,15.855,True,predicted_probability,,Imagine that you come across a fep. What are the chances that it has purple petals?,0.86,slider,followup,
321,generic,fep,3.972,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,followup,
321,generic,NA,2.907,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
321,generic,been_while,6.274,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
321,generic,NA,64.161,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","I tested my audio, I was given a scenario where I was traveling to a new planet, and I met a scientist who has been studying the planet for a while. The scientist told me that feps have purple petals, and I was asked to rate the validity of a statement.",freeform,followup,
382,generic,Linda,6.75,,botcaptcha,0,"William says to Linda: ""It's a beautiful day, isn't it?"" Who is William talking to?",['Linda'],freeform,attention,
382,generic,shadow,18.003,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",Shadow,freeform,attention,
382,generic,,9.509,,,,,,,introduction,
382,generic,NA,6.46,True,predicted_probability,,Imagine that you come across a fep. What are the chances that it has green feathers?,1,slider,followup,
382,generic,fep,3.724,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,followup,
382,generic,NA,2.908,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
382,generic,been_while,8.534,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
382,generic,NA,51.826,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",A fellow researcher describes the appearance of a new animal on this faraway planet,freeform,followup,
339,generic,Linda,6.418,,botcaptcha,0,"William says to Linda: ""It's a beautiful day, isn't it?"" Who is William talking to?",['Linda'],freeform,attention,
339,generic,shadow,26.076,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
339,generic,,6.609,,,,,,,introduction,
339,generic,NA,6.984,True,predicted_probability,,Imagine that you come across a wug. What are the chances that it has purple petals?,0.92,slider,followup,
339,generic,wug,4.255,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,wug,grid,followup,
339,generic,NA,3.074,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
339,generic,been_while,8.291,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
339,generic,NA,28.392,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","I was shown a researcher who has been doing research on this alien planet for a while, he says that wugs have purple petals",freeform,followup,
388,generic,Margaret,12.904,,botcaptcha,0,"William says to Margaret: ""It's a beautiful day, isn't it?"" Who is William talking to?",['Margaret'],freeform,attention,
388,generic,tiger,25.964,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",Tiger,freeform,attention,
388,generic,,9.153,,,,,,,introduction,
388,generic,NA,6.521,True,predicted_probability,,Imagine that you come across a fep. What are the chances that it has purple petals?,1,slider,followup,
388,generic,fep,5.087,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,followup,
388,generic,NA,4.304,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
388,generic,been_while,9.346,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
388,generic,NA,28.717,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",I pretended to be a scientist and spoke to another scientist about feps.,freeform,followup,
399,generic,Jessica,6.838,,botcaptcha,0,"William says to Jessica: ""It's a beautiful day, isn't it?"" Who is William talking to?",['Jessica'],freeform,attention,
399,generic,tiger,33.643,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",tiger,freeform,attention,
399,generic,,6.084,,,,,,,introduction,
399,generic,NA,4.511,True,predicted_probability,,Imagine that you come across a dax. What are the chances that it squeaks?,0.98,slider,followup,
399,generic,dax,5.297,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
399,generic,NA,3.029,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
399,generic,been_while,7.607,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
399,generic,NA,38.558,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","A elephant, who was a researcher on a planet for a while, told me that Daxes squeak.",freeform,followup,
444,generic,Jennifer,15.417,,botcaptcha,0,"William says to Jennifer: ""It's a beautiful day, isn't it?"" Who is William talking to?",['Jennifer'],freeform,attention,
444,generic,tiger,106.572,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",tiger,freeform,attention,
444,generic,,4.918,,,,,,,introduction,
444,generic,NA,15.495,True,predicted_probability,,Imagine that you come across a fep. What are the chances that it has purple petals?,1,slider,followup,
444,generic,fep,5.188,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,followup,
444,generic,NA,6.752,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
444,generic,been_while,12.584,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
444,generic,NA,85.421,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",We are introduced to a scientist that has already been conducting research on a planet. The scientist proceeds to tell us how feps have purple petals.,freeform,followup,
413,generic,Susan,7.099,,botcaptcha,0,"James says to Susan: ""It's a beautiful day, isn't it?"" Who is James talking to?",['Susan'],freeform,attention,
413,generic,shadow,14.282,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
413,generic,,5.123,,,,,,,introduction,
413,generic,NA,4.84,True,predicted_probability,,Imagine that you come across a dax. What are the chances that it squeaks?,0.58,slider,followup,
413,generic,dax,4.677,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
413,generic,NA,3.328,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
413,generic,been_while,7.712,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
413,generic,NA,21.703,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",Asking me about doing research in a new planet. ,freeform,followup,
374,generic,Susan,7.27,,botcaptcha,0,"James says to Susan: ""It's a beautiful day, isn't it?"" Who is James talking to?",['Susan'],freeform,attention,
374,generic,shadow,17.394,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
374,generic,,6.081,,,,,,,introduction,
374,generic,NA,5.599,True,predicted_probability,,Imagine that you come across a fep. What are the chances that it has green feathers?,1,slider,followup,
374,generic,fep,4.306,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,followup,
374,generic,NA,3.333,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
374,generic,been_while,8.222,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
374,generic,NA,23.779,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",The researcher told me they knew about life on the planet and told me feps have green feathers.,freeform,followup,
450,generic,Elizabeth,5.476,,botcaptcha,0,"Joseph says to Elizabeth: ""It's a beautiful day, isn't it?"" Who is Joseph talking to?",['Elizabeth'],freeform,attention,
450,generic,tiger,8.87,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",Tiger,freeform,attention,
450,generic,,3.001,,,,,,,introduction,
450,generic,NA,8.468,True,predicted_probability,,Imagine that you come across a fep. What are the chances that it has purple petals?,1,slider,followup,
450,generic,fep,3.731,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,followup,
450,generic,NA,1.989,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
450,generic,been_while,4.884,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
450,generic,NA,26.372,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",I listened to a Tiger tell me about nature on a planet. Specifically about feps. ,freeform,followup,
380,generic,Sarah,15.197,,botcaptcha,0,"William says to Sarah: ""It's a beautiful day, isn't it?"" Who is William talking to?",['Sarah'],freeform,attention,
380,generic,tiger,18.358,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",Tiger,freeform,attention,
380,generic,,6.166,,,,,,,introduction,
380,generic,NA,8.33,True,predicted_probability,,Imagine that you come across a fep. What are the chances that it squeaks?,0.98,slider,followup,
380,generic,fep,6.655,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,followup,
380,generic,NA,3.013,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
380,generic,been_while,23.862,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
380,generic,NA,39.709,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",The scientists discovered that feps squeak.,freeform,followup,
429,generic,Jennifer,14.744,,botcaptcha,0,"William says to Jennifer: ""It's a beautiful day, isn't it?"" Who is William talking to?",['Jennifer'],freeform,attention,
429,generic,shadow,15.474,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",Shadow,freeform,attention,
429,generic,,8.164,,,,,,,introduction,
429,generic,NA,7.029,True,predicted_probability,,Imagine that you come across a dax. What are the chances that it has green feathers?,1,slider,followup,
429,generic,dax,5.006,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
429,generic,NA,3.707,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
429,generic,been_while,7.584,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
429,generic,NA,86.482,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","In this experiment, I was introduced to a researcher, resembling a sheep, who has been studying an otherworldly planet's wildlife for a while. I was informed that Daxes have green feathers.",freeform,followup,
354,generic,Linda,8.343,,botcaptcha,0,"James says to Linda: ""It's a beautiful day, isn't it?"" Who is James talking to?",['Linda'],freeform,attention,
354,generic,tiger,40.559,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",tiger,freeform,attention,
354,generic,,7.751,,,,,,,introduction,
354,generic,NA,28.6,True,predicted_probability,,Imagine that you come across a fep. What are the chances that it has green feathers?,0.9,slider,followup,
354,generic,fep,15.432,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,followup,
354,generic,NA,4.414,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
354,generic,been_while,9.952,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
354,generic,NA,71.952,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",I was told a statement and then asked to evaluate the likeliness it was true.,freeform,followup,
401,generic,Susan,6.346,,botcaptcha,0,"Richard says to Susan: ""It's a beautiful day, isn't it?"" Who is Richard talking to?",['Susan'],freeform,attention,
401,generic,shadow,7.975,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
401,generic,,4.849,,,,,,,introduction,
401,generic,NA,5.266,True,predicted_probability,,Imagine that you come across a wug. What are the chances that it squeaks?,1,slider,followup,
401,generic,wug,4.557,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,wug,grid,followup,
401,generic,NA,4.072,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
401,generic,been_while,6.345,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
401,generic,NA,106.83,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","I was asked to pretend to be a new researcher on a new planet. I met another expert researcher who knows all about the plants and animals on the new planet, and they told me that ""Wugs squeak."" I was then asked to respond to some questions on how I interpreted the sentence. ",freeform,followup,
362,generic,Patricia,14.622,,botcaptcha,0,"Thomas says to Patricia: ""It's a beautiful day, isn't it?"" Who is Thomas talking to?",['Patricia'],freeform,attention,
362,generic,shadow,15.888,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",shadow,freeform,attention,
362,generic,,16.446,,,,,,,introduction,
362,generic,NA,10.282,True,predicted_probability,,Imagine that you come across a dax. What are the chances that it has purple petals?,1,slider,followup,
362,generic,dax,6.95,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
362,generic,NA,5.446,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
362,generic,been_while,11.724,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
362,generic,NA,100.396,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","I am a researcher on a new planet. I am supposed to classify things.  I met up with an ape like looking researcher there who has been doing research for a little while.  They told me ""Daxes have purple petals"".  My hope is they see purple the same way I do.",freeform,followup,
333,generic,Jennifer,8.263,,botcaptcha,0,"Richard says to Jennifer: ""It's a beautiful day, isn't it?"" Who is Richard talking to?",['Jennifer'],freeform,attention,
333,generic,tiger,22.059,True,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",tiger,freeform,attention,
333,generic,,7.47,,,,,,,introduction,
333,generic,NA,8.26,True,predicted_probability,,Imagine that you come across a dax. What are the chances that it has green feathers?,1,slider,followup,
333,generic,dax,4.61,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
333,generic,NA,5.89,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
333,generic,been_while,7.067,True,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
333,generic,NA,122.34,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.","I was asked to listen to a word to test my audio. That word was ""tiger"". I watched a video in which I was introduced to a seasoned researcher from an alien planet who appeared to be an anthropomorphic tiger. The researcher talked a little about their experience and then told me a fact. I was asked in a few different ways to verify that I had learned that fact and had learned about the researcher.",freeform,followup,
315,accidental-2,Margaret,7.432,,botcaptcha,0,"John says to Margaret: ""It's a beautiful day, isn't it?"" Who is John talking to?",['Margaret'],freeform,attention,
315,accidental-2,tiger,13.277,False,sound_check,,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",Tide,freeform,attention,
315,accidental-2,,1.396,,,,,,,introduction,
315,accidental-2,NA,10.812,True,predicted_probability,,Imagine that you come across another dax. What are the chances that it has purple petals?,0.54,slider,followup,
315,accidental-2,dax,2.518,True,name_identification,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,followup,
315,accidental-2,NA,3.046,True,generic_endorsement,,Would you say the following is true?,yes,mc,followup,
315,accidental-2,NA,5.548,True,perceived_character_knowledge,,Please refer to the image below. Did this character know that daxes could have purple petals before you observed it together?,no,mc,followup,
315,accidental-2,just_arrived,5.66,False,character_arrival,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,followup,
315,accidental-2,NA,15.17,True,freeform_followup,,"In the text box below, please describe briefly what happened in this experiment.",The elephant saw two daxes which are plants and they developed purple leaves both of them,freeform,followup,
320,accidental-2,Jessica,23.669,,botcaptcha,0,"David says to Jessica: ""It's a beautiful day, isn't it?"" Who is David talking to?",['Jessica'],freeform,attention,
