workerid,proliferate.condition,agent,botcaptcha_correct_answer,botcaptcha_duration,botcaptcha_n_fails,botcaptcha_response,character_arrival_correct_answer,character_arrival_duration,character_arrival_is_correct,character_arrival_response,followup_fails,freeform_followup_correct_answer,freeform_followup_duration,freeform_followup_is_correct,freeform_followup_response,generic_endorsement_correct_answer,generic_endorsement_duration,generic_endorsement_is_correct,generic_endorsement_response,item_name,item_presentation_condition,n_examples,name_identification_correct_answer,name_identification_duration,name_identification_is_correct,name_identification_response,object,predicted_probability_correct_answer,predicted_probability_duration,predicted_probability_is_correct,predicted_probability_response,property,sound_check_correct_answer,sound_check_duration,sound_check_is_correct,sound_check_response,speaker,total_time_taken,error
440,accidental-2,Elephant,Susan,8.508,0,['susan'],just_arrived,10.841,True,just_arrived,0,NA,30.48,True,"I pretended i was a researcher going to a faraway planet, i met another researcher and we observed wugs.",NA,3.892,True,yes,wug,accidental,2,wug,5.455,True,wug,artifact,NA,6.204,True,0.85,squeaking,shadow,14.548,True,shadow,sb,157.74,
299,accidental-2,Bear,Sarah,12.63,0,['Sarah'],just_arrived,11.236,True,just_arrived,0,NA,86.685,True,Observing animals on a planet and making a probabilistic comment on the likelihood that another fep will have green feathers,NA,3.807,True,yes,fep,accidental,2,fep,5.346,True,fep,bird,NA,10.217,True,1,green feathers,tiger,19.87,True,Tiger,sb,251.775,
393,accidental-2,Monkey,Patricia,7.546,0,['Patricia'],just_arrived,4.076,True,just_arrived,0,NA,28.275,True,"The monkey arrived as a new researcher. He found the wugs, then found out they have purple petals.",NA,3.895,True,yes,wug,accidental,2,wug,3.852,True,wug,flower,NA,8.232,True,0.73,purple petals,tiger,9.881,True,tiger,tg,185.446,
428,accidental-2,Dog,Linda,18.797,1,"['Barbara', 'Linda']",just_arrived,5.881,True,just_arrived,0,NA,89.952,True,In these research. The scientist just arrived and was trying to observe the area.,NA,4.273,True,yes,wug,accidental,2,wug,3.645,True,wug,flower,NA,2.893,True,0.55,purple petals,shadow,11.602,True,Shadow,sb,240.453,
287,accidental-2,Sheep,Jessica,4.971,0,['Jessica'],just_arrived,13.107,True,just_arrived,0,NA,61.42,True,"I observed a new researcher on an alien planet. Together, we saw a species of animal called a ""wug"", and we noticed that the wugs we saw had green feathers.",NA,2.957,True,yes,wug,accidental,2,wug,3.348,True,wug,bird,NA,4.815,True,0.73,green feathers,shadow,7.683,True,shadow,tg,160.353,
398,accidental-2,Sheep,Barbara,10.221,0,['Barbara'],just_arrived,6.292,True,just_arrived,0,NA,55.758,True,"A new researcher arrived on a planet to learn about it. They saw a table with two objects labeled as feps. When they were touched, it was observed that they both squeaked ",NA,3.516,True,yes,fep,accidental,2,fep,4.336,True,fep,artifact,NA,5.158,True,0.77,squeaking,shadow,14.364,True,shadow,mh,180.632,
367,pedagogical-1,Tiger,Sarah,8.453,0,['Sarah'],been_while,12.463,True,been_while,0,NA,58.251,True,"A tiger is researching animals, plants, and other objects on an alien planet. I was shown a type of animal called a Dax and shown that it has green feathers.",NA,3.627,True,yes,dax,pedagogical,1,dax,3.682,True,dax,bird,NA,9.895,True,0.95,green feathers,tiger,32.078,True,Tiger,tg,260.564,
416,pedagogical-1,Sheep,Linda,5.188,0,['Linda'],been_while,7.192,True,been_while,0,NA,31.445,True,The scientist showed me a feb and that it squeaked when they touched it.,NA,2.902,True,yes,fep,pedagogical,1,fep,3.54,True,fep,artifact,NA,6.232,True,0.9,squeaking,shadow,8.609,True,Shadow,tg,123.92,
355,pedagogical-1,Sheep,Jennifer,10.85,0,['Jennifer'],been_while,9.266,True,been_while,0,NA,32.771,True,Meet with another researcher and observed a fep with purple flowers.,NA,3.297,True,yes,fep,pedagogical,1,fep,4.473,True,fep,flower,NA,4.586,True,0.71,purple petals,tiger,10.376,True,tiger,mh,155.914,
319,pedagogical-1,Dog,Jessica,9.866,0,['Jessica'],been_while,12.294,True,been_while,0,NA,96.92,True,"A dog character doing research on a planet demonstrates that the plant known as a ""Fep"" can have purple petals.",NA,6.912,True,yes,fep,pedagogical,1,fep,8.025,True,fep,flower,NA,15.878,True,0.85,purple petals,shadow,10.421,True,Shadow,tg,252.461,
422,pedagogical-1,Elephant,Elizabeth,8.145,0,['Elizabeth'],been_while,4.061,True,been_while,0,NA,20.77,True,The elephant is a researcher at this planet and wants me to observe the dax's purple petals,NA,2.312,True,yes,dax,pedagogical,1,dax,4.455,True,dax,flower,NA,9.049,True,0.64,purple petals,shadow,14.495,True,shadow,sb,127.837,
410,pedagogical-1,Bear,Susan,9.795,0,['susan'],been_while,16.225,True,been_while,0,NA,31.659,True,I arrived at a new planet and met a fellow scientist who showed me a fep,NA,8.479,True,yes,fep,pedagogical,1,fep,5.792,True,fep,bird,NA,9.301,True,0.95,green feathers,tiger,17.086,True,tiger,mh,243.576,
325,pedagogical-1,Dog,Elizabeth,9.805,0,['Elizabeth'],been_while,3.484,True,been_while,0,NA,24.902,True,"a researcher introduced me to a dax, which has green feathers.",NA,2.449,True,yes,dax,pedagogical,1,dax,2.121,True,dax,bird,NA,6.199,True,0.71,green feathers,shadow,52.412,True,shadow,tg,166.782,
337,pedagogical-1,Elephant,Margaret,17.13,0,['Margaret'],been_while,7.505,False,just_arrived,1,NA,48.62,True,The researcher went to a new planet and discovered a species called wugs that have green feathers.,NA,6.88,True,yes,wug,pedagogical,1,wug,3.674,True,wug,bird,NA,10.706,True,0.63,green feathers,tiger,16.779,False, tiger,sb,190.515,
302,pedagogical-1,Elephant,Patricia,8.469,0,['Patricia'],been_while,7.217,True,been_while,0,NA,88.869,True,"Upon arriving, there was a researcher who was on the planet for some time. They showed an object called a Dax. The researcher then proceeded to demonstrate the ""Dax"" making a squeaking noise when squeezed. ",NA,2.466,True,yes,dax,pedagogical,1,dax,4.247,True,dax,artifact,NA,5.945,True,0.93,squeaking,tiger,18.306,True,Tiger,mh,273.768,
308,pedagogical-1,Elephant,Jessica,7.868,0,['Jessica'],been_while,6.166,True,been_while,0,NA,58.233,True,I had to imagine I was a scientist cataloging new things on a planet and met a researcher (who looked like an elephant) who had been researching these things here for a while. They then showed me a new type of bird they called a 'dax' which had green feathers when it opened its wings.,NA,3.423,True,yes,dax,pedagogical,1,dax,4.073,True,dax,bird,NA,9.296,True,0.94,green feathers,shadow,17.429,True,shadow,sb,183.352,
292,pedagogical-1,Monkey,Elizabeth,11.789,0,['Elizabeth'],been_while,9.463,True,been_while,0,NA,24.274,True,"The scientist introduced me to the ""dax"" which has green feathers.",NA,3.65,True,yes,dax,pedagogical,1,dax,4.127,True,dax,bird,NA,15.122,True,0.48,green feathers,tiger,28.674,True,Tiger,sb,195.264,
337,pedagogical-1,Sheep,Barbara,6.186,0,['Barbara'],been_while,10.709,True,been_while,0,NA,106.707,True,"I'm a new scientist on a planet sent to discover new species of pants and animals. A scientist came up to me and claimed to be knowledgeable all of the plants and animal on the planet and proceeded to show me a red ""wug"". He showed me a wug and said to watch closely. He startled the bird to reveal it's green feathers as well.",NA,4.424,True,yes,wug,pedagogical,1,wug,3.925,True,wug,bird,NA,8.38,True,0.85,green feathers,shadow,21.233,True,shadow,mh,258.084,
314,pedagogical-1,Sheep,Linda,6.742,0,['Linda'],been_while,9.648,True,been_while,0,NA,48.504,True,The researcher showed me an example of an animal from another planet. The animal is called a Wug. The researcher showed me that Wugs have green feathers.,NA,5.151,True,yes,wug,pedagogical,1,wug,5.649,True,wug,bird,NA,7.696,True,1,green feathers,tiger,17.487,True,Tiger,tg,221.312,
294,pedagogical-1,Bear,Mary,7.282,0,['Mary'],been_while,6.84,True,been_while,0,NA,63.337,True,"I am a researcher exploring animals, plants and objects on a new planet. I met another researcher who has been on the planet for awhile. The researcher showed me a dax who had green feathers underneath.",NA,5.372,True,yes,dax,pedagogical,1,dax,4.659,True,dax,bird,NA,11.445,True,0.67,green feathers,shadow,15.296,True,shadow,tg,193.549,
378,pedagogical-1,Tiger,Elizabeth,13.6,0,['Elizabeth'],been_while,10.691,True,been_while,0,NA,60.045,True,"I was a researcher exploring another planet. I had a cartoon tiger as a guide, who had been researching the planet for a while. The tiger showed me something called a Dax. The tiger also showed me that the Dax makes a squeaking noise. ",NA,5.166,True,yes,dax,pedagogical,1,dax,6.208,True,dax,artifact,NA,8.396,True,0.76,squeaking,tiger,15.705,True,tiger,tg,212.959,
446,pedagogical-1,Dog,Mary,3.589,0,['mary'],been_while,5.245,True,been_while,0,NA,18.551,True,The scientist walked up to the wug and it sprouted purple petals,NA,2.685,True,yes,wug,pedagogical,1,wug,4.751,True,wug,flower,NA,4.19,True,0.49,purple petals,shadow,5.641,True,shadow,tg,113.205,
457,pedagogical-1,Monkey,Margaret,8.636,0,['Margaret'],been_while,7.422,True,been_while,0,NA,50.849,True,"i went to this new planet as a researcher looking for new plants, objects, and animals to learn about, a monkey shows up and says hes been there for awhile researching. he shows me an object called a fep that has purple petals",NA,2.955,True,yes,fep,pedagogical,1,fep,4.266,True,fep,flower,NA,6.948,True,0.42,purple petals,tiger,10.611,True,tiger,sb,166.076,
427,pedagogical-1,Tiger,Sarah,8.502,0,['Sarah'],been_while,4.328,True,been_while,0,NA,64.201,True,"A tiger looking creature with a woman's voice said she'd been here for a while and knows a lot about the things here, then showed a planet with three stems which she called a fep. It bloomed and had purple petels, which she pointed out.",NA,3.654,True,yes,fep,pedagogical,1,fep,6.978,True,fep,flower,NA,6.824,True,0.84,purple petals,shadow,21.543,True,Shadow,sb,199.386,
439,pedagogical-1,Tiger,Elizabeth,9.118,0,['Elizabeth'],been_while,6.292,True,been_while,0,NA,21.091,True,The researcher said watch this and the dax sprouted some purp pettals,NA,4.223,True,yes,dax,pedagogical,1,dax,4.025,True,dax,flower,NA,5.099,True,0.49,purple petals,shadow,12.822,True,shadow,tg,180.963,
397,pedagogical-1,Sheep,Linda,6.637,0,['Linda'],been_while,10.749,True,been_while,0,NA,64.662,True,"I, a scientist, was assigned to catalog species on another planet. I met another scientist there, who showed me what a ""wug"" is and that it squeaks.",NA,6.217,True,yes,wug,pedagogical,1,wug,4.643,True,wug,artifact,NA,19.959,True,0.95,squeaking,tiger,15.832,True,tiger,sb,214.83,
