"","workerid","proliferate.condition","correct_answer","is_correct","prompt","response","response_time_in_seconds","response_type","trial_num","error"
"78",76,"pedagogical-2","been_while","True","Please refer to the image below. How long has this character been doing research on this planet?","been_while",5.95,"mc",3,NA
"79",76,"pedagogical-2","yes_preknowledge","True","Please refer to the image below. Did this character know that daxes could squeak before you observed it together?","yes_preknowledge",5.891,"mc",4,NA
"80",76,"pedagogical-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","The tiger squeezed a ""dax"" and it let off a squeeze noise",52.359,"freeform",5,NA
"81",104,"pedagogical-2",NA,"True","Would you say the following is true?","1",2.439,"slider",1,NA
"82",104,"pedagogical-2","['fep']","True","What is the name of the item you learned about? Please select its name from the options below.","['fep']",2.927,"grid",2,NA
"83",104,"pedagogical-2","been_while","True","Please refer to the image below. How long has this character been doing research on this planet?","been_while",3.315,"mc",3,NA
"84",104,"pedagogical-2","yes_preknowledge","False","Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?","no_preknowledge",4.128,"mc",4,NA
"85",104,"pedagogical-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","The bear touched a plant and it sprouted flowers. The flowers were purple and the plants were called feps.",17.417,"freeform",5,NA
"86",84,"pedagogical-2",NA,"True","Would you say the following is true?","0.8",9.263,"slider",1,NA
"87",84,"pedagogical-2","['blicket']","True","What is the name of the item you learned about? Please select its name from the options below.","['blicket']",5.006,"grid",2,NA
"88",84,"pedagogical-2","been_while","False","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",18.537,"mc",3,NA
"89",84,"pedagogical-2","yes_preknowledge","True","Please refer to the image below. Did this character know that blickets could have green feathers before you observed it together?","yes_preknowledge",11.76,"mc",4,NA
"90",84,"pedagogical-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","Concluding the probability of all blickets having green feathers and questions about the researcher",56.743,"freeform",5,NA
"91",124,"pedagogical-2",NA,"True","Would you say the following is true?","0.88",5.953,"slider",1,NA
"92",124,"pedagogical-2","['dax']","True","What is the name of the item you learned about? Please select its name from the options below.","['dax']",5.218,"grid",2,NA
"93",124,"pedagogical-2","been_while","False","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",11.024,"mc",3,NA
"94",124,"pedagogical-2","yes_preknowledge","False","Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?","no_preknowledge",11.594,"mc",4,NA
"95",124,"pedagogical-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","The researcher assumed the daxes had gree feathers because the he had two of them that were similar.",60.777,"freeform",5,NA
"96",67,"naive-2",NA,"True","Would you say the following is true?","0.79",10.104,"slider",1,NA
"97",67,"naive-2","['dax']","True","What is the name of the item you learned about? Please select its name from the options below.","['dax']",3.917,"grid",2,NA
"98",67,"naive-2","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",7.253,"mc",3,NA
"99",67,"naive-2","no_preknowledge","True","Please refer to the image below. Did this character know that daxes could have purple petals before you observed it together?","no_preknowledge",7.956,"mc",4,NA
"100",67,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","A new researcher got to a remote planet and observed two specimens known as daxes. They observed one and saw it had purple petals, then another that had purple petals. However, it's very possible that daxes come in other colors as well, as the sample size of 2 makes it very hard to tell for certain. This is like flipping a coin and landing on heads twice despite there existing a tails on the other side. That doesn't mean heads is the only outcome, much like purple petals may not be the only kind of dax.",139.81,"freeform",5,NA
"101",99,"naive-2",NA,"True","Would you say the following is true?","0.49",9.813,"slider",1,NA
"102",99,"naive-2","['fep']","True","What is the name of the item you learned about? Please select its name from the options below.","['fep']",7.364,"grid",2,NA
"103",99,"naive-2","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",20.368,"mc",3,NA
"104",99,"naive-2","no_preknowledge","True","Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?","no_preknowledge",9.555,"mc",4,NA
"105",99,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","I was tasked to visit a faraway planet and catalog animals, plants, etc. I met a fellow researcher who knew nothing about feps. We uncovered the cloth and revealed how feps look; they both had purple pedals.",109.205,"freeform",5,NA
"106",126,"naive-2",NA,"True","Would you say the following is true?","0.74",3.238,"slider",1,NA
"107",126,"naive-2","['blicket']","True","What is the name of the item you learned about? Please select its name from the options below.","['blicket']",6.14,"grid",2,NA
"108",126,"naive-2","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",3.569,"mc",3,NA
"109",126,"naive-2","no_preknowledge","True","Please refer to the image below. Did this character know that blickets could have purple petals before you observed it together?","no_preknowledge",5.369,"mc",4,NA
"110",126,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","we saw an experiment and were required to guess probability of the experiment repeating.",32.551,"freeform",5,NA
"111",89,"naive-2",NA,"True","Would you say the following is true?","1",5.14,"slider",1,NA
"112",89,"naive-2","['fep']","True","What is the name of the item you learned about? Please select its name from the options below.","['fep']",7.174,"grid",2,NA
"113",89,"naive-2","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",18.523,"mc",3,NA
"114",89,"naive-2","no_preknowledge","True","Please refer to the image below. Did this character know that feps could squeak before you observed it together?","no_preknowledge",11.097,"mc",4,NA
"115",89,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","I was a scientist that was sent to a faraway planet to do research on. I met another scientist when I got to the planet and it was there where we both learned about feps and how they squeaked.",73.391,"freeform",5,NA
"116",123,"naive-2",NA,"True","Would you say the following is true?","0.85",7.337,"slider",1,NA
"117",123,"naive-2","['dax']","True","What is the name of the item you learned about? Please select its name from the options below.","['dax']",5.384,"grid",2,NA
"118",123,"naive-2","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",6.618,"mc",3,NA
"119",123,"naive-2","no_preknowledge","True","Please refer to the image below. Did this character know that daxes could have purple petals before you observed it together?","no_preknowledge",6.641,"mc",4,NA
"120",123,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","The researcher found two Daxes on a table. He took a look, and discovered (one at a time) that they both had purple petals. ",39.729,"freeform",5,NA
"121",51,"naive-2",NA,"True","Would you say the following is true?","0.81",11.427,"slider",1,NA
"122",51,"naive-2","['dax']","True","What is the name of the item you learned about? Please select its name from the options below.","['dax']",5.319,"grid",2,NA
"123",51,"naive-2","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",6.327,"mc",3,NA
"124",51,"naive-2","no_preknowledge","True","Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?","no_preknowledge",6.811,"mc",4,NA
"125",51,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","I’m assuming it is a memory test? I’m not sure. We had to pinpoint what the researcher saw while also remembering that they are new to the planet. ",52.392,"freeform",5,NA
"126",71,"naive-2",NA,"True","Would you say the following is true?","1",14.425,"slider",1,NA
"127",71,"naive-2","['blicket']","True","What is the name of the item you learned about? Please select its name from the options below.","['blicket']",47.586,"grid",2,NA
"128",71,"naive-2","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",100.639,"mc",3,NA
"129",71,"naive-2","no_preknowledge","True","Please refer to the image below. Did this character know that blickets could have purple petals before you observed it together?","no_preknowledge",61.52,"mc",4,NA
"130",71,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","there was a new researcher and come to learn new thing there.",64.308,"freeform",5,NA
"131",87,"naive-2",NA,"True","Would you say the following is true?","0.57",6.54,"slider",1,NA
"132",87,"naive-2","['fep']","True","What is the name of the item you learned about? Please select its name from the options below.","['fep']",4.722,"grid",2,NA
"133",87,"naive-2","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",7.485,"mc",3,NA
"134",87,"naive-2","no_preknowledge","True","Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?","no_preknowledge",7.746,"mc",4,NA
"135",87,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","A sheep showed me two fep plants, both with purple petals. I was asked, based off this, whether all feps hold this quality.",47.205,"freeform",5,NA
"136",103,"naive-2",NA,"True","Would you say the following is true?","0.86",5.084,"slider",1,NA
"137",103,"naive-2","['dax']","True","What is the name of the item you learned about? Please select its name from the options below.","['dax']",6.327,"grid",2,NA
"138",103,"naive-2","just_arrived","False","Please refer to the image below. How long has this character been doing research on this planet?","been_while",18.75,"mc",3,NA
"139",103,"naive-2","no_preknowledge","True","Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?","no_preknowledge",6.154,"mc",4,NA
"140",103,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","The cat human had two daxes covered and then he unveiled each one and found it it has green colored wings",48.226,"freeform",5,NA
"141",82,"naive-2",NA,"True","Would you say the following is true?","0.98",6.879,"slider",1,NA
"142",82,"naive-2","['blicket']","True","What is the name of the item you learned about? Please select its name from the options below.","['blicket']",27.667,"grid",2,NA
"143",82,"naive-2","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",45.954,"mc",3,NA
"144",82,"naive-2","no_preknowledge","True","Please refer to the image below. Did this character know that blickets could have purple petals before you observed it together?","no_preknowledge",33.511,"mc",4,NA
"145",82,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","A researcher comes from other planet. And he want to know about blicket . And he open it and finally see purple petals.",234.746,"freeform",5,NA
"146",63,"naive-2",NA,"True","Would you say the following is true?","0.69",7.052,"slider",1,NA
"147",63,"naive-2","['fep']","True","What is the name of the item you learned about? Please select its name from the options below.","['fep']",6.142,"grid",2,NA
"148",63,"naive-2","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",6.834,"mc",3,NA
"149",63,"naive-2","no_preknowledge","True","Please refer to the image below. Did this character know that feps could squeak before you observed it together?","no_preknowledge",5.195,"mc",4,NA
"150",63,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","Myself and another researcher examined FEPs as the other researcher revealed them. They both squeaked, and the other researcher took verbal note of it.",38.203,"freeform",5,NA
"151",59,"naive-2",NA,"True","Would you say the following is true?","0.87",11.7,"slider",1,NA
"152",59,"naive-2","['blicket']","True","What is the name of the item you learned about? Please select its name from the options below.","['blicket']",14.566,"grid",2,NA
"153",59,"naive-2","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",10.502,"mc",3,NA
"154",59,"naive-2","no_preknowledge","True","Please refer to the image below. Did this character know that blickets could have purple petals before you observed it together?","no_preknowledge",8.157,"mc",4,NA
"155",59,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","He discovered some new plants",29.444,"freeform",5,NA
"156",118,"naive-2",NA,"True","Would you say the following is true?","0.92",5.869,"slider",1,NA
"157",118,"naive-2","['fep']","True","What is the name of the item you learned about? Please select its name from the options below.","['fep']",8.089,"grid",2,NA
"158",118,"naive-2","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",8.587,"mc",3,NA
"159",118,"naive-2","no_preknowledge","True","Please refer to the image below. Did this character know that feps could have green feathers before you observed it together?","no_preknowledge",7.67,"mc",4,NA
"160",118,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","A researcher discovered feps have green feathers.",24.351,"freeform",5,NA
"161",55,"naive-2",NA,"True","Would you say the following is true?","0.53",4.867,"slider",1,NA
"162",55,"naive-2","['dax']","True","What is the name of the item you learned about? Please select its name from the options below.","['dax']",3.514,"grid",2,NA
"163",55,"naive-2","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",3.792,"mc",3,NA
"164",55,"naive-2","no_preknowledge","True","Please refer to the image below. Did this character know that daxes could squeak before you observed it together?","no_preknowledge",3.197,"mc",4,NA
"165",55,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","an elephant person found something called a dax on another planet and it squeaks.",24.421,"freeform",5,NA
"166",105,"naive-2",NA,"True","Would you say the following is true?","1",5.934,"slider",1,NA
"167",105,"naive-2","['dax']","True","What is the name of the item you learned about? Please select its name from the options below.","['dax']",4.163,"grid",2,NA
"168",105,"naive-2","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",7.699,"mc",3,NA
"169",105,"naive-2","no_preknowledge","True","Please refer to the image below. Did this character know that daxes could squeak before you observed it together?","no_preknowledge",5.382,"mc",4,NA
"170",105,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","The researcher uncovered the daxes and seemed to be surprised by their ability to squeak. I was then asked questions about the event.",51.538,"freeform",5,NA
"171",115,"naive-2",NA,"True","Would you say the following is true?","1",4.392,"slider",1,NA
"172",115,"naive-2","['fep']","True","What is the name of the item you learned about? Please select its name from the options below.","['fep']",5.036,"grid",2,NA
"173",115,"naive-2","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",6.963,"mc",3,NA
"174",115,"naive-2","no_preknowledge","True","Please refer to the image below. Did this character know that feps could have green feathers before you observed it together?","no_preknowledge",5.652,"mc",4,NA
"175",115,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","A new explorer and myself looked at feps and learned that they were birds with green feathers.",65.101,"freeform",5,NA
"176",79,"naive-2",NA,"True","Would you say the following is true?","0.9",5.321,"slider",1,NA
"177",79,"naive-2","['blicket']","True","What is the name of the item you learned about? Please select its name from the options below.","['blicket']",5.226,"grid",2,NA
"178",79,"naive-2","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",6.211,"mc",3,NA
"179",79,"naive-2","no_preknowledge","True","Please refer to the image below. Did this character know that blickets could squeak before you observed it together?","no_preknowledge",5.734,"mc",4,NA
"180",79,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","We observed the squeaking of the blickets under the blankets
",23.382,"freeform",5,NA
"181",94,"naive-2",NA,"True","Would you say the following is true?","0.65",3.593,"slider",1,NA
"182",94,"naive-2","['blicket']","True","What is the name of the item you learned about? Please select its name from the options below.","['blicket']",5.845,"grid",2,NA
"183",94,"naive-2","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",5.095,"mc",3,NA
"184",94,"naive-2","no_preknowledge","False","Please refer to the image below. Did this character know that a blicket could have green feathers before you observed it together?","yes_preknowledge",12.892,"mc",4,NA
"185",94,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","Being a new researcher I was introduced to new species and I got to know about blicket and that they have green feathers",56.56,"freeform",5,NA
"186",74,"naive-2",NA,"True","Would you say the following is true?","0.99",9.99,"slider",1,NA
"187",74,"naive-2","['dax']","True","What is the name of the item you learned about? Please select its name from the options below.","['dax']",8.966,"grid",2,NA
"188",74,"naive-2","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",13.682,"mc",3,NA
"189",74,"naive-2","no_preknowledge","True","Please refer to the image below. Did this character know that daxes could squeak before you observed it together?","no_preknowledge",10.476,"mc",4,NA
"190",74,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","The researcher uncovered 2 Daxes and they squeaked",56.994,"freeform",5,NA
"191",111,"naive-2",NA,"True","Would you say the following is true?","0.97",7.549,"slider",1,NA
"192",111,"naive-2","['fep']","True","What is the name of the item you learned about? Please select its name from the options below.","['fep']",10.128,"grid",2,NA
"193",111,"naive-2","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",9.479,"mc",3,NA
"194",111,"naive-2","no_preknowledge","True","Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?","no_preknowledge",10.671,"mc",4,NA
"195",111,"naive-2",NA,"True","In the text box below, please describe briefly what happened in this experiment.","A researcher came to our planet and he searching something new grass",42.732,"freeform",5,NA
"196",119,"naive-1",NA,"True","Would you say the following is true?","0.97",5.265,"slider",1,NA
"197",119,"naive-1","['blicket']","True","What is the name of the item you learned about? Please select its name from the options below.","['blicket']",6.793,"grid",2,NA
"198",119,"naive-1","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",6.181,"mc",3,NA
"199",119,"naive-1","no_preknowledge","True","Please refer to the image below. Did this character know that a blicket could have green feathers before you observed it together?","no_preknowledge",9.189,"mc",4,NA
"200",119,"naive-1",NA,"True","In the text box below, please describe briefly what happened in this experiment.","A foreign observer discovered a Blicket has green feathers.",15.625,"freeform",5,NA
"201",98,"naive-1",NA,"True","Would you say the following is true?","0.98",8.54,"slider",1,NA
"202",98,"naive-1","['blicket']","True","What is the name of the item you learned about? Please select its name from the options below.","['blicket']",15.352,"grid",2,NA
"203",98,"naive-1","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",18.469,"mc",3,NA
"204",98,"naive-1","no_preknowledge","True","Please refer to the image below. Did this character know that a blicket could have purple petals before you observed it together?","no_preknowledge",13.447,"mc",4,NA
"205",98,"naive-1",NA,"True","In the text box below, please describe briefly what happened in this experiment.","They found a blicket which was purple petal.",113.698,"freeform",5,NA
"206",83,"naive-1",NA,"True","Would you say the following is true?","0.57",5.333,"slider",1,NA
"207",83,"naive-1","['dax']","True","What is the name of the item you learned about? Please select its name from the options below.","['dax']",8.379,"grid",2,NA
"208",83,"naive-1","just_arrived","True","Please refer to the image below. How long has this character been doing research on this planet?","just_arrived",5.403,"mc",3,NA
"209",83,"naive-1","no_preknowledge","True","Please refer to the image below. Did this character know that a dax could have purple petals before you observed it together?","no_preknowledge",5.844,"mc",4,NA
