workerid,proliferate.condition,agent,background,correct_answer,grid_labels,item_name,item_presentation_condition,n_examples,object,options,prompt,property,response_type,show_generic,show_scene,slide_num,slider_label_l,slider_label_r,speaker,type,error
229,pedagogical-1,,,dax,"['dax', 'yem', 'nar', 'zobby', 'blus', 'vicket']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,False,5,,,,followup,
229,pedagogical-1,,,NA,,"['dax', 'daxes']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,False,6,,,,followup,
229,pedagogical-1,Bear,5,NA,,"['dax', 'daxes']",pedagogical,1,"['flower', 'flower01', 'purple petals']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that daxes could have purple petals before you observed it together?,,mc,False,True,7,,,,followup,
229,pedagogical-1,Bear,5,been_while,,"['dax', 'daxes']",pedagogical,1,"['flower', 'flower01', 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,True,8,,,,followup,
229,pedagogical-1,,,NA,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,False,9,,,,followup,
236,pedagogical-1,Tiger,6,,,,pedagogical,,,,,,,,,1,,,tg,agent_intro,
236,pedagogical-1,Tiger,6,,,"['fep', 'feps']",pedagogical,1,"['bird', 'bird02', 'green feathers']",,,,,,,2,,,tg,object_encounter,
236,pedagogical-1,Tiger,6,,,"['fep', 'feps']",pedagogical,1,"['bird', 'bird02', 'green feathers']",,,,,,,3,,,tg,object_property,
236,pedagogical-1,,,NA,,,pedagogical,1,,,Imagine that you come across another fep. What are the chances that it has green feathers?,,slider,False,False,4,0% (impossible),100% (certain),,followup,
236,pedagogical-1,,,fep,"['vicket', 'zobby', 'blus', 'yem', 'nar', 'fep']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,False,5,,,,followup,
236,pedagogical-1,,,NA,,"['fep', 'feps']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,False,6,,,,followup,
236,pedagogical-1,Tiger,6,NA,,"['fep', 'feps']",pedagogical,1,"['bird', 'bird02', 'green feathers']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that feps could have green feathers before you observed it together?,,mc,False,True,7,,,,followup,
236,pedagogical-1,Tiger,6,been_while,,"['fep', 'feps']",pedagogical,1,"['bird', 'bird02', 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,True,8,,,,followup,
236,pedagogical-1,,,NA,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,False,9,,,,followup,
203,pedagogical-1,Sheep,4,,,,pedagogical,,,,,,,,,1,,,mh,agent_intro,
203,pedagogical-1,Sheep,4,,,"['dax', 'daxes']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,2,,,mh,object_encounter,
203,pedagogical-1,Sheep,4,,,"['dax', 'daxes']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,3,,,mh,object_property,
203,pedagogical-1,,,NA,,,pedagogical,1,,,Imagine that you come across another dax. What are the chances that it squeaks?,,slider,False,False,4,0% (impossible),100% (certain),,followup,
203,pedagogical-1,,,dax,"['zobby', 'yem', 'blus', 'vicket', 'nar', 'dax']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,False,5,,,,followup,
203,pedagogical-1,,,NA,,"['dax', 'daxes']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,False,6,,,,followup,
203,pedagogical-1,Sheep,4,NA,,"['dax', 'daxes']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that daxes could squeak before you observed it together?,,mc,False,True,7,,,,followup,
203,pedagogical-1,Sheep,4,been_while,,"['dax', 'daxes']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,True,8,,,,followup,
203,pedagogical-1,,,NA,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,False,9,,,,followup,
216,pedagogical-1,Bear,4,,,,pedagogical,,,,,,,,,1,,,mh,agent_intro,
216,pedagogical-1,Bear,4,,,"['dax', 'daxes']",pedagogical,1,"['bird', 'bird02', 'green feathers']",,,,,,,2,,,mh,object_encounter,
216,pedagogical-1,Bear,4,,,"['dax', 'daxes']",pedagogical,1,"['bird', 'bird02', 'green feathers']",,,,,,,3,,,mh,object_property,
216,pedagogical-1,,,NA,,,pedagogical,1,,,Imagine that you come across another dax. What are the chances that it has green feathers?,,slider,False,False,4,0% (impossible),100% (certain),,followup,
216,pedagogical-1,,,dax,"['yem', 'dax', 'blus', 'vicket', 'zobby', 'nar']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,False,5,,,,followup,
216,pedagogical-1,,,NA,,"['dax', 'daxes']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,False,6,,,,followup,
216,pedagogical-1,Bear,4,NA,,"['dax', 'daxes']",pedagogical,1,"['bird', 'bird02', 'green feathers']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?,,mc,False,True,7,,,,followup,
216,pedagogical-1,Bear,4,been_while,,"['dax', 'daxes']",pedagogical,1,"['bird', 'bird02', 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,True,8,,,,followup,
216,pedagogical-1,,,NA,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,False,9,,,,followup,
211,pedagogical-1,Bear,4,,,,pedagogical,,,,,,,,,1,,,mh,agent_intro,
211,pedagogical-1,Bear,4,,,"['wug', 'wugs']",pedagogical,1,"['flower', 'flower01', 'purple petals']",,,,,,,2,,,mh,object_encounter,
211,pedagogical-1,Bear,4,,,"['wug', 'wugs']",pedagogical,1,"['flower', 'flower01', 'purple petals']",,,,,,,3,,,mh,object_property,
211,pedagogical-1,,,NA,,,pedagogical,1,,,Imagine that you come across another wug. What are the chances that it has purple petals?,,slider,False,False,4,0% (impossible),100% (certain),,followup,
211,pedagogical-1,,,wug,"['blus', 'zobby', 'yem', 'wug', 'vicket', 'nar']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,False,5,,,,followup,
211,pedagogical-1,,,NA,,"['wug', 'wugs']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,False,6,,,,followup,
211,pedagogical-1,Bear,4,NA,,"['wug', 'wugs']",pedagogical,1,"['flower', 'flower01', 'purple petals']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that wugs could have purple petals before you observed it together?,,mc,False,True,7,,,,followup,
211,pedagogical-1,Bear,4,been_while,,"['wug', 'wugs']",pedagogical,1,"['flower', 'flower01', 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,True,8,,,,followup,
211,pedagogical-1,,,NA,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,False,9,,,,followup,
195,pedagogical-1,Bear,7,,,,pedagogical,,,,,,,,,1,,,tg,agent_intro,
195,pedagogical-1,Bear,7,,,"['fep', 'feps']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,2,,,tg,object_encounter,
195,pedagogical-1,Bear,7,,,"['fep', 'feps']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,3,,,tg,object_property,
195,pedagogical-1,,,NA,,,pedagogical,1,,,Imagine that you come across another fep. What are the chances that it squeaks?,,slider,False,False,4,0% (impossible),100% (certain),,followup,
195,pedagogical-1,,,fep,"['zobby', 'vicket', 'blus', 'yem', 'fep', 'nar']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,False,5,,,,followup,
195,pedagogical-1,,,NA,,"['fep', 'feps']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,False,6,,,,followup,
195,pedagogical-1,Bear,7,NA,,"['fep', 'feps']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that feps could squeak before you observed it together?,,mc,False,True,7,,,,followup,
195,pedagogical-1,Bear,7,been_while,,"['fep', 'feps']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,True,8,,,,followup,
195,pedagogical-1,,,NA,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,False,9,,,,followup,
184,pedagogical-1,Dog,6,,,,pedagogical,,,,,,,,,1,,,tg,agent_intro,
184,pedagogical-1,Dog,6,,,"['fep', 'feps']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,2,,,tg,object_encounter,
184,pedagogical-1,Dog,6,,,"['fep', 'feps']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,3,,,tg,object_property,
184,pedagogical-1,,,NA,,,pedagogical,1,,,Imagine that you come across another fep. What are the chances that it squeaks?,,slider,False,False,4,0% (impossible),100% (certain),,followup,
184,pedagogical-1,,,fep,"['vicket', 'yem', 'fep', 'zobby', 'nar', 'blus']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,False,5,,,,followup,
184,pedagogical-1,,,NA,,"['fep', 'feps']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,False,6,,,,followup,
184,pedagogical-1,Dog,6,NA,,"['fep', 'feps']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that feps could squeak before you observed it together?,,mc,False,True,7,,,,followup,
184,pedagogical-1,Dog,6,been_while,,"['fep', 'feps']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,True,8,,,,followup,
184,pedagogical-1,,,NA,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,False,9,,,,followup,
165,pedagogical-1,Sheep,6,,,,pedagogical,,,,,,,,,1,,,tg,agent_intro,
165,pedagogical-1,Sheep,6,,,"['wug', 'wugs']",pedagogical,1,"['bird', 'bird02', 'green feathers']",,,,,,,2,,,tg,object_encounter,
165,pedagogical-1,Sheep,6,,,"['wug', 'wugs']",pedagogical,1,"['bird', 'bird02', 'green feathers']",,,,,,,3,,,tg,object_property,
165,pedagogical-1,,,NA,,,pedagogical,1,,,Imagine that you come across another wug. What are the chances that it has green feathers?,,slider,False,False,4,0% (impossible),100% (certain),,followup,
165,pedagogical-1,,,wug,"['wug', 'vicket', 'zobby', 'yem', 'blus', 'nar']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,False,5,,,,followup,
165,pedagogical-1,,,NA,,"['wug', 'wugs']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,False,6,,,,followup,
165,pedagogical-1,Sheep,6,NA,,"['wug', 'wugs']",pedagogical,1,"['bird', 'bird02', 'green feathers']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that wugs could have green feathers before you observed it together?,,mc,False,True,7,,,,followup,
165,pedagogical-1,Sheep,6,been_while,,"['wug', 'wugs']",pedagogical,1,"['bird', 'bird02', 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,True,8,,,,followup,
165,pedagogical-1,,,NA,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,False,9,,,,followup,
199,pedagogical-1,Monkey,6,,,,pedagogical,,,,,,,,,1,,,tg,agent_intro,
199,pedagogical-1,Monkey,6,,,"['wug', 'wugs']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,2,,,tg,object_encounter,
199,pedagogical-1,Monkey,6,,,"['wug', 'wugs']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,3,,,tg,object_property,
199,pedagogical-1,,,NA,,,pedagogical,1,,,Imagine that you come across another wug. What are the chances that it squeaks?,,slider,False,False,4,0% (impossible),100% (certain),,followup,
199,pedagogical-1,,,wug,"['zobby', 'yem', 'wug', 'blus', 'nar', 'vicket']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,False,5,,,,followup,
199,pedagogical-1,,,NA,,"['wug', 'wugs']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,False,6,,,,followup,
199,pedagogical-1,Monkey,6,NA,,"['wug', 'wugs']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that wugs could squeak before you observed it together?,,mc,False,True,7,,,,followup,
199,pedagogical-1,Monkey,6,been_while,,"['wug', 'wugs']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,True,8,,,,followup,
199,pedagogical-1,,,NA,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,False,9,,,,followup,
167,pedagogical-1,Bear,10,,,,pedagogical,,,,,,,,,1,,,tg,agent_intro,
167,pedagogical-1,Bear,10,,,"['wug', 'wugs']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,2,,,tg,object_encounter,
167,pedagogical-1,Bear,10,,,"['wug', 'wugs']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,3,,,tg,object_property,
167,pedagogical-1,,,NA,,,pedagogical,1,,,Imagine that you come across another wug. What are the chances that it squeaks?,,slider,False,False,4,0% (impossible),100% (certain),,followup,
167,pedagogical-1,,,wug,"['vicket', 'yem', 'blus', 'wug', 'nar', 'zobby']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,False,5,,,,followup,
167,pedagogical-1,,,NA,,"['wug', 'wugs']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,False,6,,,,followup,
167,pedagogical-1,Bear,10,NA,,"['wug', 'wugs']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that wugs could squeak before you observed it together?,,mc,False,True,7,,,,followup,
167,pedagogical-1,Bear,10,been_while,,"['wug', 'wugs']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,True,8,,,,followup,
167,pedagogical-1,,,NA,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,False,9,,,,followup,
226,pedagogical-1,Monkey,2,,,,pedagogical,,,,,,,,,1,,,tg,agent_intro,
226,pedagogical-1,Monkey,2,,,"['wug', 'wugs']",pedagogical,1,"['flower', 'flower01', 'purple petals']",,,,,,,2,,,tg,object_encounter,
226,pedagogical-1,Monkey,2,,,"['wug', 'wugs']",pedagogical,1,"['flower', 'flower01', 'purple petals']",,,,,,,3,,,tg,object_property,
226,pedagogical-1,,,NA,,,pedagogical,1,,,Imagine that you come across another wug. What are the chances that it has purple petals?,,slider,False,False,4,0% (impossible),100% (certain),,followup,
226,pedagogical-1,,,wug,"['nar', 'wug', 'blus', 'zobby', 'vicket', 'yem']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,False,5,,,,followup,
226,pedagogical-1,,,NA,,"['wug', 'wugs']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,False,6,,,,followup,
226,pedagogical-1,Monkey,2,NA,,"['wug', 'wugs']",pedagogical,1,"['flower', 'flower01', 'purple petals']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that wugs could have purple petals before you observed it together?,,mc,False,True,7,,,,followup,
226,pedagogical-1,Monkey,2,been_while,,"['wug', 'wugs']",pedagogical,1,"['flower', 'flower01', 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,True,8,,,,followup,
226,pedagogical-1,,,NA,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,False,9,,,,followup,
212,pedagogical-1,Monkey,5,,,,pedagogical,,,,,,,,,1,,,tg,agent_intro,
212,pedagogical-1,Monkey,5,,,"['wug', 'wugs']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,2,,,tg,object_encounter,
212,pedagogical-1,Monkey,5,,,"['wug', 'wugs']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']",,,,,,,3,,,tg,object_property,
212,pedagogical-1,,,NA,,,pedagogical,1,,,Imagine that you come across another wug. What are the chances that it squeaks?,,slider,False,False,4,0% (impossible),100% (certain),,followup,
212,pedagogical-1,,,wug,"['yem', 'zobby', 'blus', 'nar', 'wug', 'vicket']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,False,5,,,,followup,
212,pedagogical-1,,,NA,,"['wug', 'wugs']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,False,6,,,,followup,
212,pedagogical-1,Monkey,5,NA,,"['wug', 'wugs']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that wugs could squeak before you observed it together?,,mc,False,True,7,,,,followup,
212,pedagogical-1,Monkey,5,been_while,,"['wug', 'wugs']",pedagogical,1,"['artifact', 'artifact01', 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,True,8,,,,followup,
212,pedagogical-1,,,NA,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,False,9,,,,followup,
174,pedagogical-1,Tiger,7,,,,pedagogical,,,,,,,,,1,,,tg,agent_intro,
174,pedagogical-1,Tiger,7,,,"['fep', 'feps']",pedagogical,1,"['flower', 'flower01', 'purple petals']",,,,,,,2,,,tg,object_encounter,
174,pedagogical-1,Tiger,7,,,"['fep', 'feps']",pedagogical,1,"['flower', 'flower01', 'purple petals']",,,,,,,3,,,tg,object_property,
174,pedagogical-1,,,NA,,,pedagogical,1,,,Imagine that you come across another fep. What are the chances that it has purple petals?,,slider,False,False,4,0% (impossible),100% (certain),,followup,
174,pedagogical-1,,,fep,"['zobby', 'blus', 'nar', 'vicket', 'yem', 'fep']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,False,5,,,,followup,
174,pedagogical-1,,,NA,,"['fep', 'feps']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,False,6,,,,followup,
174,pedagogical-1,Tiger,7,NA,,"['fep', 'feps']",pedagogical,1,"['flower', 'flower01', 'purple petals']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?,,mc,False,True,7,,,,followup,
174,pedagogical-1,Tiger,7,been_while,,"['fep', 'feps']",pedagogical,1,"['flower', 'flower01', 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,True,8,,,,followup,
174,pedagogical-1,,,NA,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,False,9,,,,followup,
190,pedagogical-1,Bear,7,,,,pedagogical,,,,,,,,,1,,,mh,agent_intro,
190,pedagogical-1,Bear,7,,,"['dax', 'daxes']",pedagogical,1,"['bird', 'bird02', 'green feathers']",,,,,,,2,,,mh,object_encounter,
190,pedagogical-1,Bear,7,,,"['dax', 'daxes']",pedagogical,1,"['bird', 'bird02', 'green feathers']",,,,,,,3,,,mh,object_property,
190,pedagogical-1,,,NA,,,pedagogical,1,,,Imagine that you come across another dax. What are the chances that it has green feathers?,,slider,False,False,4,0% (impossible),100% (certain),,followup,
190,pedagogical-1,,,dax,"['vicket', 'nar', 'dax', 'blus', 'yem', 'zobby']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,False,5,,,,followup,
190,pedagogical-1,,,NA,,"['dax', 'daxes']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,False,6,,,,followup,
190,pedagogical-1,Bear,7,NA,,"['dax', 'daxes']",pedagogical,1,"['bird', 'bird02', 'green feathers']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?,,mc,False,True,7,,,,followup,
190,pedagogical-1,Bear,7,been_while,,"['dax', 'daxes']",pedagogical,1,"['bird', 'bird02', 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,True,8,,,,followup,
190,pedagogical-1,,,NA,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,False,9,,,,followup,
207,pedagogical-1,Tiger,1,,,,pedagogical,,,,,,,,,1,,,mh,agent_intro,
207,pedagogical-1,Tiger,1,,,"['fep', 'feps']",pedagogical,1,"['flower', 'flower01', 'purple petals']",,,,,,,2,,,mh,object_encounter,
207,pedagogical-1,Tiger,1,,,"['fep', 'feps']",pedagogical,1,"['flower', 'flower01', 'purple petals']",,,,,,,3,,,mh,object_property,
207,pedagogical-1,,,NA,,,pedagogical,1,,,Imagine that you come across another fep. What are the chances that it has purple petals?,,slider,False,False,4,0% (impossible),100% (certain),,followup,
207,pedagogical-1,,,fep,"['nar', 'blus', 'yem', 'zobby', 'vicket', 'fep']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,False,5,,,,followup,
