workerid,proliferate.condition,agent,botcaptcha_correct_answer,botcaptcha_duration,botcaptcha_n_fails,botcaptcha_response,character_arrival_correct_answer,character_arrival_duration,character_arrival_is_correct,character_arrival_response,followup_fails,freeform_followup_correct_answer,freeform_followup_duration,freeform_followup_is_correct,freeform_followup_response,generic_endorsement_correct_answer,generic_endorsement_duration,generic_endorsement_is_correct,generic_endorsement_response,item_name,item_presentation_condition,n_examples,name_identification_correct_answer,name_identification_duration,name_identification_is_correct,name_identification_response,object,perceived_character_knowledge_correct_answer,perceived_character_knowledge_duration,perceived_character_knowledge_is_correct,perceived_character_knowledge_response,predicted_probability_correct_answer,predicted_probability_duration,predicted_probability_is_correct,predicted_probability_response,property,sound_check_correct_answer,sound_check_duration,sound_check_is_correct,sound_check_response,speaker,total_time_taken,error
554,pedagogical-3,Dog,Mary,6.894,0,['Mary'],been_while,11.777,True,been_while,0,NA,48.379,True,"I met another scientist who had observed a planet already, knowing the different animals, plants, and other features. The other scientist introduced me to a plant on the planet.",NA,4.309,True,yes,dax,pedagogical,3,dax,5.588,True,dax,flower,NA,14.185,True,yes,NA,6.384,True,0.99,purple petals,tiger,21.264,True,tiger,tg,226.893,
528,pedagogical-3,Tiger,Susan,7.147,0,['Susan'],been_while,4.507,True,been_while,0,NA,43.934,True,A researcher who looks like a tiger showed me feps. The researcher made them blossom to show that they have purple petals.,NA,2.42,True,yes,fep,pedagogical,3,fep,3.115,True,fep,flower,NA,3.693,True,yes,NA,5.742,True,1,purple petals,shadow,8.171,True,shadow,mh,191.485,
564,pedagogical-3,Tiger,Sarah,7.46,0,['Sarah'],been_while,7.526,True,been_while,0,NA,49.854,True,"I was asked to watch an animation of a tiger as a researcher. She showed us ""wugs"" and how their feathers are green.",NA,3.125,True,yes,wug,pedagogical,3,wug,5.242,True,wug,bird,NA,9.476,True,yes,NA,7.072,True,1,green feathers,tiger,9.906,True,Tiger,sb,190.082,
623,pedagogical-3,Tiger,Linda,3.783,0,['linda'],been_while,4.814,True,been_while,0,NA,25.987,True,we watched a tiger show us that daxes squeak.,NA,2.682,True,yes,dax,pedagogical,3,dax,3.26,True,dax,artifact,NA,5.535,True,yes,NA,3.274,True,0.89,squeaking,shadow,4.983,True,shadow,sb,119.91,
540,pedagogical-3,Bear,Barbara,24.979,0,['Barbara'],been_while,11.595,True,been_while,0,NA,173.486,True,A researcher that studies animals and objects shows 3 birds on a tree branch that when the researcher gets close to the birds they show their green feathers.,NA,5.2,True,yes,dax,pedagogical,3,dax,9.119,True,dax,bird,NA,8.766,True,yes,NA,12.758,True,1,green feathers,shadow,22.013,True,shadow,tg,426.615,
577,pedagogical-3,Monkey,Mary,5.982,0,['mary'],been_while,7.865,True,been_while,0,NA,74.756,True,The monkey from another planet showed me dax flowers and when they approached them they bloomed purple petals,NA,3.424,True,yes,dax,pedagogical,3,dax,3.721,True,dax,flower,NA,5.942,True,yes,NA,7.779,True,1,purple petals,shadow,11.959,True,shadow,sb,391.513,
534,pedagogical-3,Bear,Jennifer,7.587,0,['Jennifer'],been_while,7.41,True,been_while,0,NA,25.579,True,The research bear showed me what wugs are and that they have green feathers.,NA,2.938,True,yes,wug,pedagogical,3,wug,4.036,True,wug,bird,NA,8.836,True,yes,NA,10.61,True,0.94,green feathers,shadow,21.797,True,shadow,mh,160.385,
631,pedagogical-3,Dog,Linda,7.74,0,['Linda'],been_while,7.01,True,been_while,0,NA,98.193,True,A researcher comes and tells me about what they learned on the planet,NA,2.373,True,yes,dax,pedagogical,3,dax,3.616,True,dax,flower,NA,7.649,True,yes,NA,14.142,True,0.93,purple petals,tiger,8.95,True,Tiger,tg,288.05,
532,pedagogical-3,Bear,Jessica,6.371,0,['Jessica'],been_while,6.732,True,been_while,0,NA,44.423,True,I was asked to watch an animation about a bear scientist on an alien planet. The bear scientist showed me flowers called wugs with purple petals. I was then asked questions about the wugs and the scientist.,NA,5.933,True,yes,wug,pedagogical,3,wug,6.091,True,wug,flower,NA,12.109,True,yes,NA,13.138,True,0.73,purple petals,tiger,8.338,True,tiger,mh,177.134,
526,pedagogical-3,Bear,Susan,7.163,0,['Susan'],been_while,8.298,True,been_while,0,NA,73.658,True,"The bear researcher showed us plants called feps and then showed us that feps have purple petals. Then, I was asked how certain I was that all feps have purple petals, and if the bear was a new researcher or had been doing research for a while. ",NA,3.599,True,yes,fep,pedagogical,3,fep,4.478,True,fep,flower,NA,5.592,True,yes,NA,6.884,True,0.97,purple petals,tiger,14.902,True,tiger,mh,201.97,
582,pedagogical-3,Monkey,Margaret,14.841,0,['Margaret'],been_while,11.137,True,been_while,0,NA,82.842,True,"I was presented with another researcher in a new planet, he is experienced and knew things already, so he was showing me around (the researcher was represented by a monkey cartoon)",NA,3.977,True,yes,dax,pedagogical,3,dax,7.342,True,dax,artifact,NA,10.695,True,yes,NA,8.21,True,1,squeaking,shadow,32.046,True,shadow,mh,298.619,
591,pedagogical-3,Monkey,Susan,6.127,0,['Susan'],been_while,5.346,True,been_while,0,NA,56.953,True,"I was a scientist who was assigned to a faraway planet to study animals, plants, and objects there. Met a scientist who was already there for a while and she showed me daxes which were flowers with purple petals",NA,2.54,True,yes,dax,pedagogical,3,dax,3.817,True,dax,flower,NA,15.541,True,no,NA,5.557,True,1,purple petals,shadow,8.541,True,shadow,tg,166.881,
595,pedagogical-3,Tiger,Margaret,6.516,0,['Margaret'],been_while,3.133,True,been_while,0,NA,42.653,True,"The scientist already stationed on the alien planet told me that they knew all about the planet. They then showed me some wugs which when the scientist interacted with them, they showed their purple petals.",NA,1.699,True,yes,wug,pedagogical,3,wug,2.81,True,wug,flower,NA,4.414,True,yes,NA,5.576,True,1,purple petals,shadow,9.562,True,Shadow,tg,137.981,
530,pedagogical-3,Tiger,Jessica,5.598,0,['Jessica'],been_while,8.533,True,been_while,0,NA,20.589,True,To determine whether i trust someone's information based on knowing what they have done in the past,NA,3.355,True,yes,wug,pedagogical,3,wug,4.343,True,wug,flower,NA,8.693,True,yes,NA,10.625,True,0.97,purple petals,shadow,12.488,True,shadow,mh,156.219,
538,pedagogical-3,Elephant,Elizabeth,20.154,0,['Elizabeth'],been_while,12.651,True,been_while,0,NA,78.169,True,"I met a scientist who showed me a new plant, daxes. Daxes have purple petals.",NA,8.111,True,yes,dax,pedagogical,3,dax,11.982,True,dax,flower,NA,17.036,True,yes,NA,15.089,True,0.96,purple petals,shadow,31.385,True,Shadow,sb,319.907,
522,pedagogical-3,Sheep,Susan,8.288,0,['susan'],been_while,7.336,True,been_while,0,NA,49.191,True,"I was introduced to a sheep masquerading as a research scientist and met some animals, known as Wugs, that squeaked.",NA,3.779,True,yes,wug,pedagogical,3,wug,7.154,True,wug,artifact,NA,8.383,True,yes,NA,9.541,True,0.5,squeaking,tiger,24.412,True,tiger,tg,194.454,
639,pedagogical-3,Tiger,Elizabeth,16.353,0,['Elizabeth'],been_while,11.327,True,been_while,0,NA,32.8,True,A researcher on a new planet showed me feps that squeak.,NA,3.475,True,yes,fep,pedagogical,3,fep,4.03,True,fep,artifact,NA,8.999,True,yes,NA,6.539,True,0.96,squeaking,tiger,18.206,True,Tiger,mh,184.305,
552,pedagogical-3,Sheep,Linda,9.954,0,['Linda'],been_while,10.845,True,been_while,0,NA,57.916,True,"I had to watch a sheep tell me they know about plants, animals and objects on this planet. They described 3 daxes that squeak and I heard it.",NA,2.485,True,yes,dax,pedagogical,3,dax,4.309,True,dax,artifact,NA,12.387,True,yes,NA,5.862,True,0.86,squeaking,tiger,10.832,True,Tiger,mh,197.594,
656,pedagogical-3,Monkey,Jennifer,28.498,0,['Jennifer'],been_while,5.689,True,been_while,0,NA,32.088,True,"This researcher shows you a group of ""Feps"" which seem to be birds with green feathers under their wings",NA,3.276,True,yes,fep,pedagogical,3,fep,3.592,True,fep,bird,NA,9.861,True,yes,NA,5.514,True,0.65,green feathers,shadow,7.838,True,Shadow,tg,196.74,
647,pedagogical-3,Dog,Linda,5.751,0,['Linda'],been_while,6.053,True,been_while,0,NA,18.175,True,I went to a new planet and for some reason a dog was the scientist there telling me about a plant named fep,NA,2.885,True,yes,fep,pedagogical,3,fep,3.681,True,fep,flower,NA,8.23,True,yes,NA,7.574,True,0.53,purple petals,tiger,8.737,True,tiger,sb,149.896,
635,pedagogical-3,Sheep,Patricia,8.104,0,['Patricia'],been_while,7.072,True,been_while,0,NA,70.847,True,"In this experiment, I arrived on another planet and met a scientist who had been there for a while and already knew about the plants and animals on the planet.  The researcher showed me plants called 'feps' and then we watched them bloom with purple petals.",NA,3.646,True,yes,fep,pedagogical,3,fep,5.039,True,fep,flower,NA,13.009,True,yes,NA,6.859,True,0.71,purple petals,tiger,11.934,True,tiger,tg,203.986,
655,pedagogical-3,Sheep,Linda,6.02,0,['Linda'],been_while,6.811,True,been_while,0,NA,26.749,True,I arrived at a planet to find another scientist there who showed me the wugs and what they do.,NA,3.72,True,yes,wug,pedagogical,3,wug,2.684,True,wug,flower,NA,9.389,True,yes,NA,5.852,True,0.86,purple petals,shadow,6.653,True,shadow,mh,133.556,
615,pedagogical-3,Elephant,Mary,5.65,0,['Mary'],been_while,8.205,True,been_while,0,NA,53.794,True,"The elephant researcher showed me some faps. First they just looked like plants, the researcher named them. And then they said, ""See, they have purple petals,"" which seemed to suggest that this is something that usually characterizes faps.",NA,5.2,True,yes,fep,pedagogical,3,fep,3.661,True,fep,flower,NA,7.237,True,yes,NA,13.038,True,0.66,purple petals,shadow,28.863,True,shadow,sb,195.86,
516,pedagogical-3,Tiger,Jessica,15.47,0,['Jessica'],been_while,14.047,True,been_while,0,NA,99.977,True,i was a scientist need to learn about the new objects or plants discovered in the new planet and met an another scientist there..,NA,3.17,True,yes,wug,pedagogical,3,wug,6.77,True,wug,bird,NA,19.93,True,yes,NA,11.781,True,0.97,green feathers,shadow,20.891,True,shadow,tg,282.54,
546,pedagogical-3,Tiger,Jessica,12.149,0,['Jessica'],been_while,4.578,True,been_while,0,NA,47.067,True,I was asked about an alien called a fep and the experience of the researcher talking to me.,NA,2.529,True,yes,fep,pedagogical,3,fep,2.968,True,fep,bird,NA,13.254,True,yes,NA,10.832,True,0.99,green feathers,tiger,9.233,True,tiger,mh,184.127,
558,pedagogical-3,Tiger,Jennifer,13.088,0,['Jennifer'],been_while,9.632,True,been_while,0,NA,29.993,True,the tiger looking character welcomed me to the planet and showed me feps.,NA,4.728,True,yes,fep,pedagogical,3,fep,4.216,True,fep,flower,NA,11.632,True,yes,NA,10.833,True,0.95,purple petals,shadow,23.944,True,shadow,sb,236.483,
660,pedagogical-3,Bear,Margaret,16.303,0,['Margaret'],been_while,15.809,True,been_while,0,NA,87.977,True,"I arrived on a planet to meet a researcher who had already been there.  The researcher showed me a sample that they had already discovered, identified it, and demonstrated a characteristic of it.",NA,4.584,True,yes,fep,pedagogical,3,fep,4.681,True,fep,artifact,NA,8.449,True,yes,NA,8.629,True,1,squeaking,tiger,15.305,True,tiger,tg,249.9,
643,pedagogical-3,Sheep,Jennifer,8.047,0,['Jennifer'],been_while,8.152,True,been_while,0,NA,177.778,True,"I, a new scientist, visited a planet new to me that has been a recent study topic of science. There I meet another scientist who seems to have been here for some time and is thus more familiar with the life of that planet. Due to their greater knowledge, they introduce me to a specifies named Daxes and is able to effectively signal to the Daxes to somehow raise their wings, revealing green feathers.",NA,3.935,True,yes,dax,pedagogical,3,dax,5.898,True,dax,bird,NA,12.737,True,yes,NA,8.801,True,0.5,green feathers,tiger,18.786,True,Tiger,tg,332.165,
550,pedagogical-3,Sheep,Elizabeth,5.865,0,['Elizabeth'],been_while,13.015,True,been_while,0,NA,22.136,True,i went to a new planet and observed daxes which are red with green feathers,NA,3.87,True,yes,dax,pedagogical,3,dax,4.002,True,dax,bird,NA,7.545,True,no,NA,5.271,True,0.8,green feathers,tiger,9.811,True,tiger,tg,163.856,
664,pedagogical-3,Dog,Mary,11.867,0,['Mary'],been_while,7.509,True,been_while,0,NA,122.724,True,A researcher was experimenting on purple petals,NA,3.483,True,yes,dax,pedagogical,3,dax,10.521,True,dax,flower,NA,6.392,True,yes,NA,9.178,True,0.59,purple petals,shadow,13.021,True,Shadow,tg,313.946,
542,pedagogical-3,Bear,Mary,192.715,0,['mary'],been_while,5.788,True,been_while,0,NA,16.632,True,I watched a bear explain he was doing research and he showed me about Daxes and their green feathers,NA,3.598,True,yes,dax,pedagogical,3,dax,5.93,True,dax,bird,NA,5.431,True,no,NA,9.973,True,1,green feathers,shadow,8.554,True,shadow,mh,323.304,
536,pedagogical-3,Tiger,Margaret,13.364,0,['Margaret'],been_while,10.747,True,been_while,0,NA,41.607,True,A animal was saying they were doing research and it showed us the wugs and made them show their wings.,NA,4.472,True,yes,wug,pedagogical,3,wug,4.726,True,wug,bird,NA,7.905,True,yes,NA,5.499,True,1,green feathers,shadow,64.403,True,shadow,sb,233.48,
568,pedagogical-3,Bear,Margaret,27.048,0,['Margaret'],been_while,15.236,False,just_arrived,1,NA,78.425,True,I was greeted by another scientist who arrived on the planet with me and she introduced me to a wug which turned out to have purple petals,NA,4.748,True,yes,wug,pedagogical,3,wug,8.169,True,wug,flower,NA,15.116,True,yes,NA,13.346,True,0.94,purple petals,shadow,41.01,True,shadow,sb,307.841,
512,pedagogical-3,Sheep,Susan,6.346,0,['Susan'],been_while,5.73,True,been_while,0,NA,37.918,True,the scientist has been experimenting on this planet for awhile and discovered daxes that squeak ,NA,3.061,True,yes,dax,pedagogical,3,dax,9.266,True,dax,artifact,NA,7.067,True,yes,NA,6.839,True,0.83,squeaking,tiger,11.702,False,skyscraper,tg,174.735,
611,pedagogical-3,Dog,Jessica,11.927,0,['Jessica'],been_while,8.154,True,been_while,0,NA,49.211,True,I watched as a scientist showed me that wugs bloom purple petals. And then I was asked about what I saw.,NA,5.144,True,yes,wug,pedagogical,3,wug,8.302,True,wug,flower,NA,10.98,True,yes,NA,12.702,True,1,purple petals,shadow,36.8,True,Shadow,mh,262.649,
556,pedagogical-3,Bear,Jennifer,15.814,0,['Jennifer'],been_while,7.641,True,been_while,1,NA,13.327,True,he showed us objects that squeaked,NA,5.001,True,yes,fep,pedagogical,3,fep,14.019,False,zobby,artifact,NA,8.612,True,yes,NA,8.658,True,0.85,squeaking,shadow,50.248,True,shadow,sb,217.009,
627,pedagogical-3,Tiger,Barbara,25.764,0,['Barbara'],been_while,86.551,True,been_while,0,NA,92.439,True,"To describe new kinds of animals, plants and objects that have been discovered in the planet.",NA,3.767,True,yes,dax,pedagogical,3,dax,22.144,True,dax,bird,NA,39.849,True,yes,NA,11.809,True,0.21,green feathers,shadow,24.83,True,shadow,sb,443.791,
572,pedagogical-3,Sheep,Jessica,17.675,0,['Jessica'],been_while,8.928,True,been_while,0,NA,75.202,True,"catalogue and describe new kinds of animals, plants, and objects that have been discovered on the planet. ",NA,9.098,True,yes,fep,pedagogical,3,fep,8.085,True,fep,flower,NA,12.77,True,yes,NA,11.537,True,0.8,purple petals,tiger,47.623,True,Tiger,mh,387.318,
524,pedagogical-3,Bear,Margaret,11.401,0,['Margaret'],been_while,7.53,True,been_while,0,NA,39.12,True,"a bear introduced herself and said she wanted to show me something. as she approached some FEP's they all bloomed and she said ""see purple petals""",NA,4.24,True,yes,fep,pedagogical,3,fep,5.551,True,fep,flower,NA,9.079,True,yes,NA,9.51,True,0.78,purple petals,shadow,17.019,True,shadow,sb,200.512,
650,generic,Monkey,Susan,8.002,0,['Susan'],been_while,17.253,True,been_while,0,NA,56.793,True,a scientist on a faraway planet  told me Wugs squeak,NA,3.856,True,yes,wug,generic,1,wug,6.819,True,wug,artifact,NA,NA,NA,NA,NA,11.698,True,0.98,squeaking,shadow,17.07,True,Shadow,sb,192.875,
646,generic,Bear,Sarah,10.767,0,['Sarah'],been_while,7.906,True,been_while,0,NA,32.333,True,I was asked about the creature's name and what it looks like. ,NA,3.118,True,yes,fep,generic,1,fep,6.109,True,fep,bird,NA,NA,NA,NA,NA,6.248,True,0.98,green feathers,tiger,24.768,True,Tiger,mh,163.227,
594,generic,Sheep,Jessica,5.255,0,['Jessica'],been_while,7.187,True,been_while,0,NA,27.837,True,I answered whether or not I believed Daxes squeak based off a researcher's answer,NA,3.775,True,yes,dax,generic,1,dax,4.633,True,dax,artifact,NA,NA,NA,NA,NA,4.466,True,0.92,squeaking,shadow,9.416,True,shadow,mh,118.694,
571,generic,Monkey,Jessica,9.276,0,['Jessica'],been_while,12.498,True,been_while,0,NA,37.271,True,I was told be a researcher who has been in the field for a while that wugs squeak.,NA,2.756,True,yes,wug,generic,1,wug,6.582,True,wug,artifact,NA,NA,NA,NA,NA,8.892,True,0.74,squeaking,tiger,48.387,True,tiger,sb,214.418,
598,generic,Sheep,Susan,8.402,0,['Susan'],been_while,13.061,True,been_while,0,NA,45.51,True,I came across another researcher who gave me advice on what he has already identified.,NA,3.879,True,yes,wug,generic,1,wug,4.873,True,wug,flower,NA,NA,NA,NA,NA,14.017,True,0.98,purple petals,tiger,10.485,True,Tiger,mh,160.454,
654,generic,Elephant,Patricia,7.477,0,['patricia'],been_while,7.472,True,been_while,0,NA,26.322,True,an elephant researcher told me they had discovered wugs and that the wugs have purple petals,NA,3.645,True,yes,wug,generic,1,wug,4.914,True,wug,flower,NA,NA,NA,NA,NA,6.275,True,0.87,purple petals,tiger,36.358,True,tiger,tg,143.611,
606,generic,Elephant,Mary,8.322,0,['Mary'],been_while,6.845,True,been_while,0,NA,91.693,True,I am a researcher on a new planet and when I arrived there was another researcher who has been conducting their own observations for a while. They said that feps have green feathers. I am then asked questions about the likelihood that a bird with green feathers is a fep.,NA,2.976,True,yes,fep,generic,1,fep,4.551,True,fep,bird,NA,NA,NA,NA,NA,5.624,True,0.89,green feathers,tiger,19.661,True,tiger,mh,205.58,
630,generic,Sheep,Patricia,7.338,0,['Patricia'],been_while,8.508,True,been_while,0,NA,21.29,True,The researcher told me wugs squeak and I believed them,NA,4.885,True,yes,wug,generic,1,wug,6.173,True,wug,artifact,NA,NA,NA,NA,NA,5.76,True,0.98,squeaking,tiger,20.655,True,Tiger,sb,138.919,
638,generic,Tiger,Linda,4.978,0,['Linda'],been_while,6.354,True,been_while,0,NA,39.993,True,"A tiger talked about knowing a lot about a new planet and at the end said , ""feps squeek""

Start of a horror movie? Mmmmmaybe. ",NA,2.696,True,yes,fep,generic,1,fep,4.947,True,fep,artifact,NA,NA,NA,NA,NA,4.308,True,0.79,squeaking,shadow,10.432,True,Shadow,tg,117.147,
626,generic,Elephant,Sarah,8.824,0,['Sarah'],been_while,11.627,True,been_while,0,NA,43.2,True,"An elephant character from another planet wanted to describe a character to me, and said ""Fep squeak"".",NA,5.029,True,yes,fep,generic,1,fep,5.862,True,fep,artifact,NA,NA,NA,NA,NA,8.805,True,0.88,squeaking,tiger,23.444,False,tigers,sb,165.518,
590,generic,Elephant,Margaret,10.528,0,['Margaret'],been_while,6.85,True,been_while,0,NA,47.4,True,"I spoke to a researcher who has been researching a planet for a while, they then told me their findings. ""Wugs have green feathers"".",NA,4.269,True,yes,wug,generic,1,wug,4.889,True,wug,bird,NA,NA,NA,NA,NA,6.162,True,1,green feathers,tiger,18.907,True,tiger,sb,172.987,
563,generic,Sheep,Mary,6.416,0,['Mary'],been_while,5.12,True,been_while,0,NA,44.976,True,"I am a scientist that just arrived on a distant planet. I  am to catalog and describe different plants, animals, and objects that are discovered.",NA,3.071,True,yes,fep,generic,1,fep,3.225,True,fep,flower,NA,NA,NA,NA,NA,6.112,True,1,purple petals,tiger,4.279,True,tiger,sb,157.297,
666,generic,Elephant,Linda,8.591,0,['Linda'],been_while,15.895,True,been_while,0,NA,75.159,True,"I was asked to listen to a word, type the word I heard. Then read/listen to a story about researching objects on an alien planet. Another researcher had supposedly been there for some time and told me ""daxes squeak."" I would believe that, but I'm there to do research myself and would need to verify. ",NA,6.847,True,yes,dax,generic,1,dax,6.691,True,dax,artifact,NA,NA,NA,NA,NA,15.441,True,0.86,squeaking,tiger,19.872,True,Tiger,tg,239.204,
602,generic,Bear,Linda,14.06,0,['Linda'],been_while,5.136,True,been_while,0,NA,31.43,True,I am a scientist going to a new planet to collect research and I meet another researcher there who says wugs have green feathers,NA,2.871,True,yes,wug,generic,1,wug,3.777,True,wug,bird,NA,NA,NA,NA,NA,5.739,True,0.99,green feathers,shadow,10.777,True,Shadow,sb,126.163,
575,generic,Dog,Linda,50.16,0,['Linda'],been_while,5.05,True,been_while,0,NA,39.699,True,A researcher told me feps are purple,NA,2.788,True,yes,fep,generic,1,fep,4.522,True,fep,flower,NA,NA,NA,NA,NA,168.379,True,0.95,purple petals,tiger,19.739,True,tiger,sb,389.36,
585,generic,Sheep,Jennifer,4.808,0,['Jennifer'],been_while,5.627,True,been_while,0,NA,64.831,True,"I recently arrived on another planet and ran into a fellow researcher who has been studying the ecosystem for a while. They told me that one of the creatures, wugs, have green feathers.",NA,2.818,True,yes,wug,generic,1,wug,4.179,True,wug,bird,NA,NA,NA,NA,NA,5.132,True,1,green feathers,tiger,16.103,True,tiger,mh,152.835,
622,generic,Monkey,Susan,6.166,0,['susan'],been_while,7.921,True,been_while,0,NA,8.015,True,"daxes squeak
",NA,2.281,True,yes,dax,generic,1,dax,4.775,True,dax,artifact,NA,NA,NA,NA,NA,5.053,True,0.96,squeaking,shadow,10.892,True,shadow,sb,90.476,
581,generic,Monkey,Margaret,16.686,0,['Margaret'],been_while,11.707,True,been_while,0,NA,69.768,True,"I met a monkey claiming to be someone who has studies plants and animals on this planet. ""Wugs have green feathers"" was a alleged fact said to me.",NA,13.773,True,yes,wug,generic,1,wug,6.777,True,wug,bird,NA,NA,NA,NA,NA,23.512,True,0.63,green feathers,shadow,15.054,True,Shadow,mh,253.761,
567,generic,Dog,Susan,5.479,0,['Susan'],been_while,9.447,True,been_while,0,NA,39.549,True,"I ran into a researcher that has been on a new planet for a while, and he told me from his research that Daxes have green feathers.",NA,3.363,True,yes,dax,generic,1,dax,5.231,True,dax,bird,NA,NA,NA,NA,NA,5.101,True,0.99,green feathers,tiger,19.582,False,Skyscraper,mh,171.753,
634,generic,Sheep,Linda,14.732,0,['Linda'],been_while,10.35,True,been_while,0,NA,82.654,True,I was a new researcher on an alien planet. I was introduced to a lamb character who had been doing research prior to my arrival.,NA,5.913,True,yes,fep,generic,1,fep,7.453,True,fep,artifact,NA,NA,NA,NA,NA,16.114,True,0.77,squeaking,tiger,18.613,True,Tiger,tg,295.66,
